book_id,listegenre,award
1,"Adventure, Audiobook, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Science Fiction Fantasy, Young Adult",1
2,"Fantasy, Fiction, Young Adult",1
3,"Adventure, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Novels, Science Fiction Fantasy, Young Adult",1
5,"Adventure, Audiobook, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Science Fiction Fantasy, Young Adult",1
6,"Fantasy, Fiction, Young Adult",1
8,"Adventure, Childrens, Classics, Fantasy, Fantasy-Magic, Fantasy-Supernatural, Fiction, Paranormal-Witches, Science Fiction Fantasy, Young Adult",0
10,"Adventure, Childrens, Classics, Fantasy, Fantasy-Magic, Fiction, Paranormal-Witches, Paranormal-Wizards, Science Fiction Fantasy, Young Adult",0
11,"Adventure, Audiobook, Classics, Fantasy, Fiction, Humor, Humor-Comedy, Novels, Science Fiction, Science Fiction Fantasy",0
13,"Classics, Fantasy, Fiction, Humor, Science Fiction",0
21,"Audiobook, History, Nonfiction, Science",1
22,"Autobiography-Memoir, Cultural-Africa, Humor, Nonfiction, Travel",0
24,"Autobiography-Memoir, Cultural-Australia, Humor, Nonfiction, Travel",1
25,"Audiobook, Autobiography-Memoir, Biography, Humor, Humor-Comedy, Literature-American, Nonfiction, The United States Of America, Travel, Writing-Essays",0
26,"Autobiography-Memoir, Humor, Nonfiction, Travel",0
27,"Autobiography-Memoir, Humor, Nonfiction, Travel",0
28,"Audiobook, Autobiography-Memoir, Biography, European Literature-British Literature, Humor, Humor-Comedy, Nonfiction, Travel, Travel-Travelogue, Writing-Essays",0
29,"History, Humanities-Language, Nonfiction",0
30,"Classics, Fantasy, Fiction",0
33,"Classics, Fantasy, Fiction",1
34,"Classics, Fantasy, Fiction",1
50,"Adventure, Adventure-Survival, Childrens, Classics, Fiction, Young Adult",1
58,"Childrens-Middle Grade, Fantasy, Fantasy-Urban Fantasy, Fiction, Paranormal-Fairies, Young Adult",0
59,"Fantasy, Fantasy-Magic, Fiction, Mythology-Mermaids, Romance, Young Adult",1
61,"Childrens, Fantasy, Fiction, Young Adult",1
67,"Cultural-African American, Fiction, Historical-Historical Fiction",1
78,"Environment-Nature, History, Nonfiction, Science, Science-Geology, Travel",1
79,"Environment-Nature, History, Nonfiction, Science, Travel",1
93,"Childrens, Classics, Fiction",0
105,"Fantasy, Fiction, Science Fiction",1
112,"Fantasy, Fiction, Science Fiction",1
117,"Audiobook, Classics, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Space, Space-Space Opera, Speculative Fiction",1
122,"Classics, Cultural-Africa, Fiction, Historical-Historical Fiction",1
160,"Classics, Cultural-Russia, Fiction, Literature, Literature-Russian Literature",0
163,"Cultural-Ireland, European Literature-Irish Literature, Fiction, Historical-Historical Fiction, Spy Thriller-Espionage",1
204,"European Literature-British Literature, Fiction, Historical, Historical-Historical Fiction",0
208,"Fantasy, Fantasy-Epic Fantasy, Fantasy-High Fantasy, Fiction",1
231,"Academic-College, Contemporary, Fiction, Novels",1
236,"Childrens, Classics, Fiction, Humor, Poetry",0
245,"Language-Writing, Literature, Literature-American, Nonfiction, Writing-Essays",0
246,"Autobiography-Memoir, Cultural-Greece, Literature, Nonfiction, Travel",0
247,"Classics, Fiction, Literature, Novels",0
248,"Fiction, Literature, Literature-American",0
249,"Classics, Fiction, Literature, Literature-American, Novels",0
250,"Classics, Fiction, Literature, Novels",0
252,"Classics, Fiction, Literature",0
253,"Fiction, Literature, Travel, Writing-Essays",0
254,"Biography, Literature, Nonfiction, Poetry, Writing-Essays",0
258,Biography,0
264,"Classics, Fiction, Literature, Literature-19th Century",0
275,"Adult Fiction-Erotica, Classics, Cultural-Asia, Cultural-France, European Literature-French Literature, Fiction, Historical-Historical Fiction, Literature, Novels, Romance",1
277,"Cultural-France, Language-Writing, Nonfiction, Writing-Essays",0
278,"Autobiography-Memoir, Cultural-France, History, Nonfiction, War",0
280,"Classics, Cultural-France, Fiction",0
290,"Fiction, Philosophy, Poetry, Religion, Religion-Christianity",0
291,"Classics, Fiction, Novels, Poetry",0
295,"Adventure, Classics, Fiction, Young Adult",1
304,"Classics, Fiction, Historical-Victorian, Literature-19th Century",0
320,"Classics, Fiction, Literature, Magical Realism",1
327,"Health, Nonfiction, Psychology, Science, Science-Biology, Self Help",0
343,"Classics, Fiction, Historical-Historical Fiction, Horror, Mystery, Thriller",1
348,"Adventure, Audiobook, Classics, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Time Travel, Speculative Fiction",0
350,"Audiobook, Classics, Fantasy, Fiction, Novels, Philosophy, Religion, Science Fiction, Science Fiction Fantasy, Speculative Fiction",1
351,"Adventure, Audiobook, Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Space, Space-Space Opera, Speculative Fiction, Young Adult",0
352,"Fiction, Science Fiction",0
353,"Fiction, Science Fiction, Science Fiction Fantasy",1
354,"Fiction, Science Fiction",1
355,"Fantasy, Fiction, Science Fiction",1
357,"Fantasy, Fiction, Humor, Mystery, Science Fiction",0
359,"Fantasy, Fiction, Humor, Science Fiction",0
362,"Biography, Biography Memoir, Humor, Nonfiction",0
365,"Fantasy, Fiction, Humor, Mystery, Science Fiction",1
378,"Academic-School, Adventure, Childrens, Childrens-Juvenile, Childrens-Middle Grade, Classics, Fantasy, Fiction, Humor, Young Adult",0
385,"Humanities-Language, Humor, Nonfiction, Philosophy, Writing-Essays",0
386,"Autobiography-Memoir, Biography, Nonfiction",1
400,"Fiction, Historical-Historical Fiction, Literature-American, Novels",1
402,"Fiction, Literature, Literature-American, Novels",1
408,"Fiction, Literature, Novels",0
409,"Fiction, Historical-Historical Fiction, Literature, Novels, Science Fiction-Steampunk",1
413,"Fiction, Historical-Historical Fiction, Literature, Novels",0
