book_id,listegenre
1,"Adventure, Audiobook, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Science Fiction Fantasy, Young Adult"
2,"Fantasy, Fiction, Young Adult"
3,"Adventure, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Novels, Science Fiction Fantasy, Young Adult"
5,"Adventure, Audiobook, Childrens, Childrens-Middle Grade, Classics, Fantasy, Fantasy-Magic, Fiction, Science Fiction Fantasy, Young Adult"
6,"Fantasy, Fiction, Young Adult"
8,"Adventure, Childrens, Classics, Fantasy, Fantasy-Magic, Fantasy-Supernatural, Fiction, Paranormal-Witches, Science Fiction Fantasy, Young Adult"
10,"Adventure, Childrens, Classics, Fantasy, Fantasy-Magic, Fiction, Paranormal-Witches, Paranormal-Wizards, Science Fiction Fantasy, Young Adult"
11,"Adventure, Audiobook, Classics, Fantasy, Fiction, Humor, Humor-Comedy, Novels, Science Fiction, Science Fiction Fantasy"
13,"Classics, Fantasy, Fiction, Humor, Science Fiction"
21,"Audiobook, History, Nonfiction, Science"
22,"Autobiography-Memoir, Cultural-Africa, Humor, Nonfiction, Travel"
24,"Autobiography-Memoir, Cultural-Australia, Humor, Nonfiction, Travel"
25,"Audiobook, Autobiography-Memoir, Biography, Humor, Humor-Comedy, Literature-American, Nonfiction, The United States Of America, Travel, Writing-Essays"
26,"Autobiography-Memoir, Humor, Nonfiction, Travel"
27,"Autobiography-Memoir, Humor, Nonfiction, Travel"
28,"Audiobook, Autobiography-Memoir, Biography, European Literature-British Literature, Humor, Humor-Comedy, Nonfiction, Travel, Travel-Travelogue, Writing-Essays"
29,"History, Humanities-Language, Nonfiction"
30,"Classics, Fantasy, Fiction"
33,"Classics, Fantasy, Fiction"
34,"Classics, Fantasy, Fiction"
50,"Adventure, Adventure-Survival, Childrens, Classics, Fiction, Young Adult"
58,"Childrens-Middle Grade, Fantasy, Fantasy-Urban Fantasy, Fiction, Paranormal-Fairies, Young Adult"
59,"Fantasy, Fantasy-Magic, Fiction, Mythology-Mermaids, Romance, Young Adult"
61,"Childrens, Fantasy, Fiction, Young Adult"
67,"Cultural-African American, Fiction, Historical-Historical Fiction"
78,"Environment-Nature, History, Nonfiction, Science, Science-Geology, Travel"
79,"Environment-Nature, History, Nonfiction, Science, Travel"
93,"Childrens, Classics, Fiction"
105,"Fantasy, Fiction, Science Fiction"
112,"Fantasy, Fiction, Science Fiction"
117,"Audiobook, Classics, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Space, Space-Space Opera, Speculative Fiction"
122,"Classics, Cultural-Africa, Fiction, Historical-Historical Fiction"
160,"Classics, Cultural-Russia, Fiction, Literature, Literature-Russian Literature"
163,"Cultural-Ireland, European Literature-Irish Literature, Fiction, Historical-Historical Fiction, Spy Thriller-Espionage"
204,"European Literature-British Literature, Fiction, Historical, Historical-Historical Fiction"
208,"Fantasy, Fantasy-Epic Fantasy, Fantasy-High Fantasy, Fiction"
231,"Academic-College, Contemporary, Fiction, Novels"
236,"Childrens, Classics, Fiction, Humor, Poetry"
245,"Language-Writing, Literature, Literature-American, Nonfiction, Writing-Essays"
246,"Autobiography-Memoir, Cultural-Greece, Literature, Nonfiction, Travel"
247,"Classics, Fiction, Literature, Novels"
248,"Fiction, Literature, Literature-American"
249,"Classics, Fiction, Literature, Literature-American, Novels"
250,"Classics, Fiction, Literature, Novels"
252,"Classics, Fiction, Literature"
253,"Fiction, Literature, Travel, Writing-Essays"
254,"Biography, Literature, Nonfiction, Poetry, Writing-Essays"
258,Biography
264,"Classics, Fiction, Literature, Literature-19th Century"
275,"Adult Fiction-Erotica, Classics, Cultural-Asia, Cultural-France, European Literature-French Literature, Fiction, Historical-Historical Fiction, Literature, Novels, Romance"
277,"Cultural-France, Language-Writing, Nonfiction, Writing-Essays"
278,"Autobiography-Memoir, Cultural-France, History, Nonfiction, War"
280,"Classics, Cultural-France, Fiction"
290,"Fiction, Philosophy, Poetry, Religion, Religion-Christianity"
291,"Classics, Fiction, Novels, Poetry"
295,"Adventure, Classics, Fiction, Young Adult"
304,"Classics, Fiction, Historical-Victorian, Literature-19th Century"
320,"Classics, Fiction, Literature, Magical Realism"
327,"Health, Nonfiction, Psychology, Science, Science-Biology, Self Help"
343,"Classics, Fiction, Historical-Historical Fiction, Horror, Mystery, Thriller"
348,"Adventure, Audiobook, Classics, Fantasy, Fiction, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Time Travel, Speculative Fiction"
