book_id,author_id,author
1,36597,J.K. Rowling
10,36597,J.K. Rowling
11,36610,Douglas Adams
13,36610,Douglas Adams
21,37724,Bill Bryson
22,37724,Bill Bryson
24,37724,Bill Bryson
25,37724,Bill Bryson
26,37724,Bill Bryson
27,37724,Bill Bryson
28,37724,Bill Bryson
29,37724,Bill Bryson
30,36618,J.R.R. Tolkien
33,36618,J.R.R. Tolkien
34,36618,J.R.R. Tolkien
50,37607,Gary Paulsen
58,41770,Delia Sherman
59,37486,Patricia A. McKillip
61,44117,Zilpha Keatley Snyder
67,48476,Edward P. Jones
78,46688,John McPhee
79,46688,John McPhee
105,37890,Frank Herbert
112,37890,Frank Herbert
117,37890,Frank Herbert
122,41820,Bryce Courtenay
163,41315,John Banville
208,39776,Daniel Abraham
231,37413,Tom Wolfe
236,48259,Edward Lear
246,42567,Henry Miller
247,42567,Henry Miller
248,42567,Henry Miller
250,42567,Henry Miller
252,42567,Henry Miller
253,42567,Henry Miller
254,42567,Henry Miller
277,42190,Marguerite Duras
295,37995,Robert Louis Stevenson
327,47049,Robert M. Sapolsky
348,36549,Robert A. Heinlein
350,36549,Robert A. Heinlein
351,36549,Robert A. Heinlein
353,36549,Robert A. Heinlein
354,36549,Robert A. Heinlein
355,36549,Robert A. Heinlein
357,36610,Douglas Adams
359,36610,Douglas Adams
365,36610,Douglas Adams
385,40316,Harry G. Frankfurt
386,40328,Nick Flynn
400,42191,Don DeLillo
402,42191,Don DeLillo
408,42191,Don DeLillo
409,37424,Thomas Pynchon
413,37424,Thomas Pynchon
415,37424,Thomas Pynchon
421,37719,Joan Didion
424,37719,Joan Didion
432,42727,Paul Auster
435,42727,Paul Auster
446,42727,Paul Auster
447,42727,Paul Auster
449,42727,Paul Auster
454,42727,Paul Auster
456,42727,Paul Auster
463,42727,Paul Auster
475,38499,Jared Diamond
509,40756,Tom Stoppard
597,38429,Chuck Klosterman
599,38429,Chuck Klosterman
629,37435,Robert M. Pirsig
647,38493,Naomi Klein
667,36579,Ayn Rand
676,41090,Billy Collins
698,40293,Anne Tyler
