book_id,publisher_id,published_date,published_title,name_publisher
1,20316,,,Scholastic Inc.
2,20316,,,Scholastic Inc.
3,19679,,,Scholastic Inc
5,20316,,,Scholastic Inc.
6,19859,,,Scholastic
8,19859,,,Scholastic
10,19859,,,Scholastic
11,19886,,,Del Rey Books
13,19886,,,Del Rey Books
21,19861,,,Broadway Books
22,19861,,,Broadway Books
24,19861,,,Broadway Books
25,19861,,,Broadway Books
26,19731,,,William Morrow Paperbacks
27,19731,,,William Morrow Paperbacks
28,19731,,,William Morrow Paperbacks
29,19731,,,William Morrow Paperbacks
30,19664,,,Ballantine Books
33,20179,,,Houghton Mifflin Harcourt
34,20179,,,Houghton Mifflin Harcourt
50,29743,,,Atheneum Books for Young Readers: Richard Jackson Books
58,20303,,,Viking Juvenile
59,21072,,,Firebird
61,19811,,,iUniverse
67,20143,,,Amistad
78,19793,,,"Farrar, Straus and Giroux"
79,19793,,,"Farrar, Straus and Giroux"
93,20908,,,Kingfisher
105,19760,,,Ace Books
112,19760,,,Ace Books
117,19760,,,Ace Books
122,19664,,,Ballantine Books
160,20320,,,Cambridge University Press
163,20201,,,Vintage Books
204,20524,,,"Little, Brown Book Group"
208,19653,,,Tor Books
231,19875,,,Picador USA
236,22361,,,Amereon Limited
245,26314,,,New Directions Publishing
246,20186,,,New Directions
247,19899,,,Grove Press
248,20186,,,New Directions
249,19899,,,Grove Press
250,19899,,,Grove Press
252,19899,,,Grove Press
253,20186,,,New Directions
254,20186,,,New Directions
258,19874,,,Faber & Faber
264,19683,,,Penguin Classics
275,22333,,,Pantheon Books
277,29151,,,Brookline Books
278,21549,,,The New Press
280,19774,,,Pantheon
290,19801,,,Knopf
291,20001,,,Citadel
295,20908,,,Kingfisher
304,19805,,,Modern Library
320,19778,,,Harper
327,20480,,,Holt Paperbacks
343,19712,,,Penguin Books
348,19787,,,Del Rey
350,19718,,,Ace
351,19780,,,Pocket Books
352,19724,,,Baen
353,19718,,,Ace
354,19760,,,Ace Books
355,19787,,,Del Rey
357,19780,,,Pocket Books
359,19787,,,Del Rey
362,19787,,,Del Rey
365,19780,,,Pocket Books
378,29678,,,Random House Bullseye Books
385,19816,,,Princeton University Press
386,20518,,,W. W. Norton & Company
400,19781,,,Penguin
402,19712,,,Penguin Books
408,19695,,,Vintage
409,19808,,,Penguin Press
413,20267,,,Picador
415,19712,,,Penguin Books
418,19683,,,Penguin Classics
421,20681,,,Farrar Straus Giroux
424,20681,,,Farrar Straus Giroux
428,19793,,,"Farrar, Straus and Giroux"
431,19683,,,Penguin Classics
432,19712,,,Penguin Books
435,28651,,,Sun and Moon Press
446,20267,,,Picador
447,19712,,,Penguin Books
449,20267,,,Picador
454,19693,,,Henry Holt & Company
456,19712,,,Penguin Books
463,20186,,,New Directions
475,30174,,,Penguin Books Ltd. (London)
477,20320,,,Cambridge University Press
493,20692,,,"Filiquarian Publishing, LLC."
509,19899,,,Grove Press
597,19817,,,Scribner
599,19817,,,Scribner
629,19721,,,HarperTorch
647,20267,,,Picador
654,20322,,,Harper Perennial Modern Classics
655,20924,,,Signet Classics
656,20765,,,Oxford University Press
658,19910,,,Dover Publications
662,19845,,,Plume
665,19742,,,Signet
667,19776,,,NAL
668,19742,,,Signet
669,19742,,,Signet
676,19739,,,Random House Trade Paperbacks
682,26729,,,Vanguard Press
685,20681,,,Farrar Straus Giroux
698,20711,,,Alfred A. Knopf
703,19895,,,Vintage International
706,24039,,,Allen Lane
760,19895,,,Vintage International
771,19728,,,Vintage Books USA
816,19717,,,Avon
822,19731,,,William Morrow Paperbacks
823,29819,,,HarperCollins Perennial
827,19753,,,Spectra
835,26331,,,Two Plus Two Publishing LLC
840,20327,,,Basic Books
868,20156,,,VIZ Media LLC
870,20156,,,VIZ Media LLC
871,20156,,,VIZ Media LLC
873,20156,,,VIZ Media LLC
880,19739,,,Random House Trade Paperbacks
890,19712,,,Penguin Books
900,20748,,,It Books
902,20351,,,Puffin
903,20471,,,Turtleback Books
905,19739,,,Random House Trade Paperbacks
925,21420,,,Barry Eisler
929,19728,,,Vintage Books USA
960,19780,,,Pocket Books
968,20540,,,Anchor
976,19780,,,Pocket Books
998,19654,,,Gallery Books
1031,19664,,,Ballantine Books
1032,19664,,,Ballantine Books
1035,19664,,,Ballantine Books
1052,19677,,,Berkley Books
1059,19861,,,Broadway Books
1067,19757,,,Simon  Schuster
1078,29675,,,Howard Publishing Co
1097,19665,,,Harper Perennial
1110,19716,,,Delta
1111,19695,,,Vintage
1171,19712,,,Penguin Books
1202,19682,,,William Morrow
1232,19712,,,Penguin Books
1241,20259,,,Anchor Books
1274,21953,,,Harper Paperbacks
1300,19665,,,Harper Perennial
1301,20433,,,W. W. Norton  Company
1303,29868,,,Penguin (Business)
1305,19722,,,Bantam
1307,20679,,,Spectra Books
1316,19722,,,Bantam
1317,19722,,,Bantam
1318,19722,,,Bantam
1319,21124,,,Warner Books
1354,19683,,,Penguin Classics
1362,19712,,,Penguin Books
1371,19683,,,Penguin Classics
1375,19683,,,Penguin Classics
1381,19683,,,Penguin Classics
1414,19977,,,Houghton Mifflin Co.
1420,20320,,,Cambridge University Press
1423,23463,,,Applause Books
1426,19898,,,HarperOne
1427,19898,,,HarperOne
1428,19898,,,HarperOne
1429,19898,,,HarperOne
1430,19898,,,HarperOne
1431,19665,,,Harper Perennial
1467,27155,,,Bantam Classics
1473,19712,,,Penguin Books
1496,20939,,,Ivan R. Dee Publisher
1519,19683,,,Penguin Classics
1524,20320,,,Cambridge University Press
1538,19796,,,New American Library
1540,19881,,,Mariner Books
1554,29717,,,Prestwick House - (Literary Touchstone Classic)
1562,27155,,,Bantam Classics
1567,19683,,,Penguin Classics
1591,20292,,,"Hackett Publishing Company, Inc."
1617,20367,,,Hill & Wang
1618,19695,,,Vintage
1622,29676,,,Simon & Schuster Paperbacks
1624,24658,,,North Point Press
1625,20178,,,Simon Schuster
1627,19817,,,Scribner
1633,19712,,,Penguin Books
1663,21314,,,To Press
1677,22059,,,Sudamericana
1715,19781,,,Penguin
1814,20486,,,Tarcher
1815,21806,,,Three Rivers Press (CA)
1842,20826,,,W.W. Norton & Company
1845,20259,,,Anchor Books
1846,19651,,,Thomas Nelson
1848,19757,,,Simon  Schuster
1849,19884,,,Warner Books (NY)
1852,19859,,,Scholastic
1869,29803,,,Owl Books (Henry Holt)
1875,19695,,,Vintage
1876,19695,,,Vintage
1878,19695,,,Vintage
1885,19805,,,Modern Library
1898,20259,,,Anchor Books
1911,30300,,,"Farrar, Straus and Giroux (NY)"
1934,20924,,,Signet Classics
1946,19777,,,Library of America
1953,19712,,,Penguin Books
1976,20551,,,Egmont Books Ltd
1978,19776,,,NAL
1981,19796,,,New American Library
1990,19683,,,Penguin Classics
2002,19848,,,Arthur A. Levine
2011,19653,,,Tor Books
2013,19718,,,Ace
2017,19721,,,HarperTorch
2028,21776,,,Prometheus Books
2049,20649,,,Vintage Crime/Black Lizard
2050,20649,,,Vintage Crime/Black Lizard
2052,29720,,,Vintage Crime
2054,20649,,,Vintage Crime/Black Lizard
2067,21288,,,Viking Books
2068,19757,,,Simon  Schuster
2081,20793,,,Bantam Books
2094,19722,,,Bantam
2095,19722,,,Bantam
