genre,votes
40k,767
Academic,272
Academic Academia,123
Academic Academics,2
Academic College,20212
Academic Grad School,33
Academic Read For School,10225
Academic School,64084
Academic Students,2
Academic Teachers,19
Action,14522
Adolescence,4
Adult,161980
Adult Fiction,42930
Adult Fiction Erotica,107792
Adventure,218812
Adventure Maritime,113
Adventure Pirates,5494
Adventure Survival,5915
Aeroplanes,30
Africa Eastern Africa,2
Africa Northern Africa,5
Africa Western Africa,3
African Literature Egyptian Literature,36
Aircraft Helicopters,3
Alcohol Beer,132
Alcohol Booze,6
Alcohol Cocktails,6
Alcohol Wine,48
American African American Literature,134
American American Classics,4
American American Fiction,39
American Americana,326
American History American Civil War,647
American Revolution American Revolutionary War,207
American Southern,4646
Amish,3621
Anarchism,36
Animals,56438
Animals Animal Fiction,461
Animals Anthropomorphic,14
Animals Birds,945
Animals Cats,5002
Animals Dinosaurs,551
Animals Dogs,5673
Animals Horses,4798
Animals Rabbits,77
Animals Wolves,639
Anthologies,9787
Anthologies Collections,382
Anthropology,9058
Anthropology Ethnography,74
Apocalyptic Post Apocalyptic,41180
Architecture,2935
Art,45155
Art Art Design,224
Art Art History,2022
Art Crafts,142
Art Drawing,483
Art Graffiti,27
Art Photography,4768
Art Street Art,36
Art Visual Art,7
Art Woodwork,17
Art and Photography,46
Artificial Intelligence,841
Asian Literature Chinese Literature,490
Asian Literature Indian Literature,4174
Asian Literature Indonesian Literature,4031
Asian Literature Japanese Literature,23351
Asian Literature Turkish Literature,5037
Astronomy Planets,28
Audiobook,223552
Autobiography Memoir,304299
Aviation,731
Beer Brewing,27
Biblical,80
Biblical Fiction,1290
Biography,309038
Biography Autobiography,28883
Biography Memoir,22555
Biography Music Biography,16
Biology Ecology,582
Biology Evolution,5967
Biology Genetics,595
Biology Neuroscience,4319
Book Club,17702
Buddhism Zen,954
Buisness,1763
Business,156641
Business Amazon,629
Business Apple,3
Business Entrepreneurship,3789
Business Management,6503
Cartography Maps,51
Category Romance Harlequin,519
Category Romance Love Inspired,113
Category Romance Loveswept,5
Category Romance Mills and Boon,3
Category Romance Silhouette,2
Category Romance Traditional Regency,4
Central Africa Angola,43
Central Africa Republic Of The Congo,3
Childrens,457010
Childrens 1st Grade,32
Childrens 2nd Grade,105
Childrens Chapter Books,2843
Childrens Childrens Classics,31
Childrens Juvenile,9857
Childrens Middle Grade,198262
Childrens Nursery Rhymes,33
Childrens Picture Books,174348
Childrens Pre K,6
Childrens School Stories,42
Childrens Storytime,1876
Childrens Young Readers,50
Christian,113448
Christian Christian Living,7850
Christian Christian Non Fiction,1295
Christian Fiction,81299
Christian Fiction Amish Fiction,841
Christian Fiction Christian Fantasy,599
Christian Fiction Christian Historical Fiction,110
Christianity Catholic,2302
Christianity Discipleship,26
Christianity Ecclesiology,27
Christianity Evangelism,7
Christianity Lds,6241
Christianity New Testament,94
Christianity Old Testament,136
Church Church History,238
Cities Urban Planning,352
Cities Urban Studies,35
Cities Urbanism,224
Civil War English Civil War,9
Civil War Spanish Civil War,17
Classics,3632476
Classics Classic Literature,8240
Classics Cult Classics,74
Classics Modern Classics,136
Colouring Books,52
Combat Martial Arts,933
Comics Bd,5
Comics Comic Book,13546
Comics Manga,654
Comics Superheroes,9795
Computer Science Algorithms,75
Computer Science Coding,34
Computer Science Computers,601
Computer Science Programming,6630
Computer Science Software,1116
Computer Science Technical,968
Computers Hackers,46
Computers Internet,163
Conservation,23
Contemporary,852616
Contemporary Romance Sports Romance,12295
Couture Fashion,979
Crafts Knitting,303
Crafts Quilting,156
