id,origin_id
1,1
2,1
2,2
2,3
3,1
3,4
3,5
4,1
4,4
4,5
4,3
5,1
5,4
6,1
6,4
6,6
6,7
6,5
6,2
6,3
7,4
8,1
8,4
8,5
8,2
9,1
9,5
10,5
11,1
11,4
11,3
12,1
12,5
12,3
13,3
14,1
15,8
16,1
16,4
16,5
16,3
17,4
17,6
18,1
18,7
18,2
19,1
20,4
20,6
20,5
20,2
21,4
22,1
23,1
23,4
23,5
23,2
24,5
24,2
25,1
25,2
26,3
27,3
28,1
28,4
28,5
28,
29,1
29,3
30,1
30,4
30,3
31,1
32,4
32,2
32,3
33,1
33,4
33,7
33,5
34,1
34,4
35,4
35,2
36,1
37,1
37,4
37,5
37,3
38,1
38,4
38,2
39,4
40,1
40,4
40,6
40,2
41,1
41,6
41,7
41,5
42,6
43,1
43,4
43,6
44,1
44,4
44,6
44,5
45,1
45,4
45,6
45,7
45,5
45,2
46,5
47,1
47,4
47,6
47,7
47,5
47,2
48,4
48,5
48,2
49,4
49,7
49,5
50,3
51,1
51,4
51,6
51,7
51,5
51,2
52,1
52,3
53,1
53,4
53,6
53,5
53,2
54,1
54,4
54,5
54,2
55,1
55,6
55,5
55,2
56,3
57,1
57,5
57,2
58,1
58,4
58,6
58,7
58,2
59,1
59,4
59,2
60,1
60,4
60,7
60,3
61,1
61,4
61,7
61,5
61,2
61,3
62,1
62,4
62,3
63,1
63,3
64,1
64,3
65,1
65,4
65,5
65,3
66,1
66,4
66,5
67,1
67,4
67,2
68,1
68,7
68,3
69,1
69,4
70,1
70,4
70,2
70,3
71,1
71,4
71,2
