award_id,book_id
1,998
2,24876258
3,7640261
4,176892
5,138811
6,23346719
7,1977834
8,7831145
9,58893
10,6419887
11,71869
12,7519640
13,2214574
14,7163862
15,8662135
16,97860
17,10587120
18,621687
19,199635
20,39097
21,7129468
22,8685644
23,10414941
24,11242368
25,167302
26,311308
27,82553
28,22852698
29,457762
30,402
31,226425
32,13806
33,12700306
34,10222362
35,25242224
36,11750412
37,102661
38,15815333
39,127028
40,17735
41,22693811
42,79090
43,2917367
44,117904
45,13438524
46,9526
47,13325079
48,6340016
49,107792
50,126507
51,23492741
52,24963
53,1724365
54,7346
55,175828
56,44236
57,762053
58,613218
59,2305862
60,8350864
33,11746102
61,15790833
62,2535732
63,4806
64,7058405
65,216196
66,6280379
67,50695
68,12882349
69,3157877
70,32957
71,238126
72,12389310
73,110396
74,19528
75,129117
76,68333
77,842746
78,109830
79,355789
80,4789801
81,104344
82,34272565
83,24384
84,38225791
85,456
86,366787
87,774032
88,7897478
89,72676
90,19580
91,4364
92,1931915
93,10402992
94,32758901
95,228534
96,140260
97,6687247
98,27397
99,179174
100,427920
101,105574
102,146943
103,6777616
104,80672
105,138683
106,22875451
107,6090807
108,13642963
109,15799936
110,35519101
111,14707
112,10978
113,256280
114,518982
115,26480
116,36253
117,6586456
118,128109
119,1928405
120,7057397
121,6460814
122,12072969
123,13248799
124,786699
125,17190226
126,17296121
127,29661618
128,166562
129,17586834
130,1322303
131,1071726
132,27268403
133,2484198
134,18405537
135,31447045
136,32560066
137,8225859
138,331260
139,116567
140,2432061
141,6771774
141,6771730
142,192954
143,10169662
144,369439
145,12878300
146,16067631
147,17611261
148,15757694
149,13152194
150,13420145
151,94351
152,56636
153,24568450
18,6046158
154,40605223
155,31815310
156,12970162
157,15818357
158,35425827
159,6390031
160,13573419
161,1967633
162,147908
163,7023148
164,165856
165,11680603
166,362002
167,27297
168,14404
169,13062235
170,12351695
171,14624906
172,9475932
173,6344897
174,9242236
175,12180248
176,44184
143,10552338
177,24767508
178,17350491
51,23209927
179,30839185
180,6839020
181,30841984
3,6732019
182,31823677
183,44107480
184,108051
185,815234
186,170529
187,1380834
188,615359
189,6658659
190,10711
191,406422
192,11106249
193,1739150
194,131304
195,838130
196,10710392
197,186445
198,7779571
199,3173125
200,12384984
201,9219901
202,15766776
203,22324795
204,119832
205,25053346
206,17801134
207,22841551
208,24611819
209,34213608
210,31144992
211,18077875
212,35297469
213,43848929
214,209690
215,459901
216,5269911
217,317293
218,6377319
219,3107
220,205821
221,6309229
222,12885
223,320200
224,781653
225,8550813
226,7740772
227,8485458
228,975885
229,5444895
230,21278
231,12591698
232,33016249
233,3629971
234,683406
33,12444166
172,8339286
235,6465063
236,186668
107,3675828
237,11378659
238,71111
239,744224
240,293951
241,1167033
242,7171561
243,776175
244,18295852
245,65388
246,13505635
247,440638
248,18589573
249,11547633
103,6455256
250,40864841
251,44581535
252,11284
253,109326
254,15682
255,137446
256,3250465
257,541920
258,89716
259,105999
260,7696504
261,765811
262,11402993
263,5659537
264,895886
265,6371720
266,384579
267,3993839
268,6318413
269,2054504
270,27550
271,25193
272,18487180
273,18310201
274,30843
275,293602
276,18188319
277,43691
278,6276276
279,21853636
280,10187223
281,129877
282,20649195
283,2161966
284,23533039
285,24382227
286,26245853
287,13630171
288,25334576
289,34684622
290,19523454
291,50196744
292,41081373
293,43521657
294,25810500
295,31952703
296,262545
297,303073
298,26482
299,281152
300,74462
301,1720099
302,76758
303,123106
304,50804
305,1099648
306,6578507
307,838668
308,108980
309,7824997
310,10801027
311,9068791
233,6060130
312,9471730
313,13448374
314,1835150
315,5148758
316,2437710
317,6184241
318,6559316
319,8721183
320,13171072
321,10331050
322,17349023
323,12987986
324,8035987
325,563362
326,18218630
327,13455542
328,35187179
329,123667
330,26252659
331,31202835
332,15704486
333,33375622
334,25036395
335,35068592
336,34324484
337,25903764
338,169651
339,6177371
340,4418237
341,56083
342,8100267
343,9722219
344,133775
345,179734
346,491578
347,300674
348,291583
349,7187640
350,2623267
351,7249522
352,11889938
353,275600
354,1105956
