series_id,book_id
8,22028
23,10587120
76,102661
78,177523
83,826583
162,2002
275,22202
291,33310533
311,7812107
345,2642142
353,15766776
288,38339351
2086,403101
399,96908
415,6722482
419,7171561
429,782519
439,137446
6376,11436
444,160
490,18674889
517,46969
415,16090271
556,35961
568,17181677
578,62535
583,23345583
605,443765
631,196417
641,6310782
655,2392841
288,28943950
669,307079
692,97010
727,6048335
734,144006
737,824204
743,7937510
755,858719
771,157551
773,18514068
288,39793780
799,949709
802,3157876
812,2182780
822,6393082
840,176755
841,315519
874,247982
893,178493
968,766955
1000,1868171
1020,125958
1021,60411
1027,8610067
59,146123
1037,7969618
162,16177185
1062,3692151
1064,951060
288,34661469
1097,8325092
1132,191113
1137,8177852
1146,6472881
1152,35613533
447,8857585
1190,74720
1224,1424766
6376,11433
1228,8488492
1276,1140698
1287,12630405
1290,16038973
1339,17412749
6376,11430
1366,23603
1374,99328
1382,3134981
1132,17846011
1396,16101018
1403,21570318
1409,825377
1411,158778
1500,782854
1533,29944
641,192523
1546,11808919
1559,8100102
76,1102322
1633,1387640
1646,36085
1651,595405
1669,222606
1020,7816410
1729,116054
641,35414
1757,428035
1772,227570
874,362929
874,332071
1838,36428005
1852,3635
1882,8089
444,14681
1926,87348
1942,28588073
1382,107021
1958,17607
692,97018
1975,994809
802,7528717
2038,1013383
692,97001
2084,313973
2101,60146
2108,1876829
2115,19282938
2131,557332
2157,969131
517,247998
2185,122967
2202,278237
1382,51080
2237,2252947
2239,149847
2131,5168977
1366,3141295
2262,9620
2278,93750
2287,911579
2320,43799
2339,95044
2348,106540
2349,531344
2354,375711
2359,72469
2363,1703186
2372,548699
188,261441
2413,103104
2418,6671719
2442,7700881
2451,275651
2454,400634
2474,47184
2478,9607950
2490,3508012
2508,1111630
2509,206327
2514,10960414
2517,11461997
2538,13421363
2547,390046
2569,10900053
2588,232079
2591,74315
6096,11262609
2680,18166482
2696,10389148
2717,2930157
2720,18802858
2722,951113
2354,885497
2790,22113811
2791,15820072
2806,22628517
2814,3147511
3646,17257584
2828,9754154
6376,21408690
2842,23151687
2845,16255632
2864,23728241
2868,6467361
2882,42714
2918,722117
2712,44678681
2985,3149089
3024,28939912
3026,81884
3042,349417
3090,28020938
3100,35506358
3102,38233379
1264,49628682
3126,9460091
3146,38509967
3175,132609
3176,15992356
3205,61831
3207,2464291
3210,2142887
3222,24020362
3246,42908
2490,7706182
3325,28167546
3342,674213
3365,603204
3369,8198230
6096,6056287
2680,18166527
2696,10389149
3416,10603056
2720,18802838
2354,19337
3488,21943866
2814,12218281
3498,43822122
3528,13554019
3530,10079
3554,25321126
3562,1275105
3563,16248281
2845,22822933
578,565428
3592,770670
3646,23510662
