id_user,book_rank,book_title
1,1,Midnight in Chernobyl: The Untold Story of The World's Greatest Nuclear Disaster
2,1,Snow
3,1,1984
4,1,Teenage Mutant Ninja Turtles: The Last Ronin
5,1,vinland saga
6,1,Le Seigneur des Anneaux
7,1,Made In abyss
8,1,The Call of Cthulhu
9,1,Re zero
10,1,Percy Jackson 
11,1,"Série de livres ""Georges et"" par Stephen Hawkings"
12,1,royaume de feu(livre 6) : la montagne de jade
14,1,La peau de chagrin
16,1,It - Stephen King
17,1,percy jackson
18,1,Fresh Water for Flowers
19,1,Dune
20,1,Les sombres cohortes
21,1,trilogie Seigneur des anneaux
22,1,Dracula
23,1,Les raisins de la colère 
26,1,Anne franck
27,1,Les chien et les star 
28,1,Dragon ball tome 83 
29,1,Le seigneur des anneaux 
30,1,Les Chroniques de Krondor de Raymond E Feist
31,1,Coyote attend(Tony hillerman) 
32,1,A sign of affection
33,1,Influence et manipulation
34,1,The shining - Stephen King
35,1,Samouraï de Fabrice Caro
36,1,SNK
38,1,Les Autodafeurs de Marine Carteron
40,1,Les chroniques de la compagnie noire 
41,1,Chroniques des temps obscures 
42,1,Le chat de Geluck
43,1,Héritier d'Enkidiev 
44,1,Les trois mousquetaires
45,1,les fourmis bernard werber
46,1,Lecteur Omniscient (Manwha)
47,1,La quête d'ewilan
48,1,Lanfeust
49,1,"Pascal, Les Provinciales"
50,1,Glacé Bernard Minier
51,1,Le fléau
52,1,ils n'étaient qu'un seul homme
53,1,La servante écarlate de Margaret Atwood
54,1,"La délicatesse, par David Foenkinos"
55,1,Lettre d’une inconnue - Stefan Zweig
56,1,Sherlock Holmes
57,1,The picture of dorian gray
58,1,"Betty, Tiffany McDaniel"
59,1,Les sept maris d'evelyn Hugo
60,1,Percy Jackson
61,1,Sapiens
62,1,La série Bleach
63,1,Le Horla de Maupassant
64,1,Manga Tokyo ghoul
65,1,"Illuminae tome 1, 2 et 3"
68,1,50 nuances (les 3 volumes)
69,1,"Le webtoon ""The begining after the end"""
70,1,{Nouvelle) La couleur tombée du ciel - H.P. Lovecraft 
71,1,Biographie Talleyrand - ?
1,2,The Shining
3,2,Jane Eyre - Charlotte Brontë
4,2,Star Wars : Dark Droids
5,2,adabana
6,2,Eragon
7,2,Cheerful Amnesia
8,2,Les Cent Vingt Journées de Sodome
9,2,One piece
10,2,L'épouventeur
11,2,Les Percy Jackson (+ séries de livres suivantes)
12,2,gardien des cité perdu
14,2,Dragon ball
16,2,Five Nights at Freddy's The Silver Eyes - Scott Cawthon
17,2,7 lettres
18,2,L'affaire poupoune
19,2,Les royaumes de feu
20,2,Akame ga kill
21,2,Les tomes de Harry Potter
22,2,Le Tour du monde en quatre-vingts jours
23,2,La planète des singes
26,2,Maman m a dit de me taire 
27,2,Je sais plus
28,2,Dragon ball tome 81
29,2,Harry Potter 
30,2,Le sorceleur d'Andrzej Sapkowski
31,2,L'os est pointé ( Arthur Upfield) 
32,2,Demon Slayer
33,2,Réfléchissez et devenez riche
34,2,L’anomalie Hervé  Le Tellier
35,2,Solo Leveling
36,2,Evangelion
38,2,Numéro deux de David Foenkinos
40,2,Le trône de fer
41,2,A la croisée des mondes
42,2,La saga du sorceleur
43,2,Cité des Anciens 
44,2,Le prieuré de l'oranger
47,2,Eragon
48,2,Picsou
49,2,"Descartes, Le Discours de la méthode"
50,2,Okavango Caryl Ferey
51,2,Le labirinthe
52,2,Dune
53,2,Là où chantent les écrevisses de Délia Owens
54,2,"Numéro Deux, par David Foenkinos "
55,2,L’Étranger - Albert Camus
56,2,Twisted love 
