id,genre,votes
630104,Young Adult,161
630104,Mystery,45
630104,Romance,32
9487,Christian Fiction,114
9487,Christian,45
9487,Fiction,33
9487,Romance,16
6050894,Christian Fiction,174
6050894,Christian,81
6050894,Fiction,58
39030,Thriller,626
39030,Mystery,493
39030,Horror,432
39030,Fiction,422
998,Economics-Finance,1162
998,Nonfiction,910
998,Business,817
998,Finance-Personal Finance,471
998,Self Help,327
998,Currency-Money,296
998,Economics,178
998,Self Help-Personal Development,114
998,Audiobook,52
998,Psychology,49
311164,Romance,550
311164,Historical-Historical Fiction,316
311164,Historical-Regency,234
311164,Romance-Historical Romance,229
311164,Historical,198
311164,Fiction,161
32105,Romance,725
32105,Historical-Historical Fiction,395
32105,Romance-Historical Romance,332
32105,Historical-Regency,285
32105,Historical,252
32105,Fiction,173
377993,Fiction,106
377993,American-Southern,26
377993,Gothic-Southern Gothic,23
71292,Sequential Art-Comics,947
71292,Sequential Art-Graphic Novels,319
71292,Sequential Art-Bande Dessinée,160
71292,Fiction,142
71292,Humor,112
71292,Cultural-France,96
821003,Poetry,599
821003,Childrens,384
821003,Classics,301
821003,Fiction,149
24876258,Fantasy,2449
24876258,Science Fiction-Steampunk,889
24876258,Fiction,343
24876258,Science Fiction,333
24876258,Audiobook,133
24876258,Adventure,129
24876258,Science Fiction Fantasy,103
24876258,Adult,85
24876258,Fantasy-Epic Fantasy,58
24876258,Fantasy-Urban Fantasy,53
80631,Mystery,195
80631,Fiction,146
80631,Thriller,127
80631,Suspense,51
81048,Art,81
81048,Nonfiction,37
81048,Self Help,14
81048,Autobiography-Memoir,10
81048,Inspirational,9
81048,Language-Writing,9
7640261,Nonfiction,1134
7640261,Science,560
7640261,History,426
7640261,Sexuality,330
7640261,Psychology,307
7640261,Anthropology,211
22028,Fiction,283
22028,Mystery-Crime,112
22028,Thriller,60
22028,Mystery,38
176892,Fantasy,1109
176892,Fantasy-Dragons,132
176892,Fiction,88
176892,Science Fiction Fantasy,45
176892,Fantasy-High Fantasy,43
138811,History,244
138811,Nonfiction,64
138811,Cultural-Russia,47
138811,Military-Military History,26
138811,War,20
138811,War-Military Fiction,19
15990489,Fiction,653
15990489,Cultural-Ireland,151
15990489,Romance,118
15990489,Womens Fiction-Chick Lit,114
15990489,Audiobook,102
15990489,Contemporary,86
15990489,Adult Fiction,61
15990489,European Literature-Irish Literature,44
15990489,Adult,43
15990489,Womens Fiction,30
15743075,Romance,357
15743075,Romance-Historical Romance,330
15743075,Historical,187
15743075,Adult Fiction-Erotica,155
15743075,Adult,69
16116760,Romance,184
16116760,Young Adult,172
16116760,Contemporary,92
16116760,Fiction,89
13549445,Historical-Historical Fiction,91
13549445,Romance,39
13549445,Fiction,28
13549445,Historical,25
13549445,War-World War II,23
13549445,World War II-Holocaust,21
550844,Horror,1714
550844,Fiction,434
550844,Fantasy,164
550844,Shapeshifters-Werewolves,159
18523711,Fantasy-Paranormal,249
18523711,Romance,198
18523711,Romance-Paranormal Romance,182
18523711,Adult Fiction-Erotica,107
18523711,Science Fiction,67
17234659,Young Adult,617
17234659,Science Fiction,414
17234659,Romance,318
17234659,Fantasy,295
165782,Fiction,170
165782,Magical Realism,46
165782,Fantasy,35
165782,Romance,23
165782,Contemporary,19
23346719,Fiction,289
23346719,Thriller,286
