book_id,preprocessed_resumes
11266086,"[' ', 'tired', 'struggle', 'musician', 'befriend', 'gig', 'dad', 'famous', 'manhattan', 'club', 'underground', 'meet', 'mysterious', 'unbelievably', 'passionate', 'talented', 'musician', 'brink', 'success', 'relationship', 'grow', 'sweep', 'away', 'fiery', 'romance', 'love', 'test', 'cruel', 'whim', 'fate', '  ', 'tired', 'struggle', 'musician', 'befriend', 'gig', 'dad', 'famous', 'manhattan', 'club', 'underground', 'meet', 'mysterious', 'unbelievably', 'passionate', 'talented', 'musician', 'brink', 'success', 'relationship', 'grow', 'sweep', 'away', 'fiery', 'romance', 'love', 'test', 'cruel', 'whim', 'fate', 'pride', 'apart', ' ', 'believe', 'mom', 'die', 'sudden', 'illness', 'find', 'letter', 'dad', 'keep', 'year', 'letter', 'mom', 'catherine', 'die', ' ', 'drive', 'unanswered', 'question', 'chelsea', 'set', 'look', 'start', 'return', 'address', 'letter', 'underground', 'tell', 'voice', 'year', 'apart', '  ', 'interweave', 'timeless', 'forbid', 'romance', 'compelling', 'modern', 'mystery']"
22668848,"['year', 'old', 'caitlin', 'live', 'mother', 'docker', 'local', 'container', 'port', 'subsidized', 'housing', 'airport', 'seattle', 'day', 'wait', 'pick', 'school', 'caitlin', 'visit', 'local', 'aquarium', 'study', 'fish', 'gaze', 'creature', 'watery', 'depth', 'caitlin', 'access', 'shimmering', 'universe', 'befriend', ' ', 'year', 'old', 'caitlin', 'live', 'mother', 'docker', 'local', 'container', 'port', 'subsidized', 'housing', 'airport', 'seattle', 'day', 'wait', 'pick', 'school', 'caitlin', 'visit', 'local', 'aquarium', 'study', 'fish', 'gaze', 'creature', 'watery', 'depth', 'caitlin', 'access', 'shimmering', 'universe', 'befriend', 'old', 'man', 'tank', 'day', 'enamor', 'fish', 'caitlin', 'crack', 'open', 'dark', 'family', 'secret', 'propel', 'blissful', 'relationship', 'mother', 'precipice', 'terrifying', 'consequence', 'crystalline', 'chisel', 'graceful', 'prose', '  ', 'take', 'heart', 'brave', 'young', 'girl', 'longing', 'love', 'capacity', 'forgiveness', 'transform', 'damage', 'people']"
29345814,"['olivia', 'hear', 'right', 'man', 'indian', 'lake', 'find', 'truly', 'intriguing', 'forever', 'hopelessly', 'handsome', 'heir', 'region', 'successful', 'farming', 'operation', 'rafe', 'barzonni', 'involve', 'horse', 'racing', 'sudden', 'attraction', 'downright', 'dangerous', 'league', 'gambler', 'like', 'father', 'sh', 'olivia', 'hear', 'right', 'man', 'indian', 'lake', 'find', 'truly', 'intriguing', 'forever', 'hopelessly', 'handsome', 'heir', 'region', 'successful', 'farming', 'operation', 'rafe', 'barzonni', 'involve', 'horse', 'racing', 'sudden', 'attraction', 'downright', 'dangerous', 'league', 'gambler', 'like', 'father', 'shame', 'father', 'racetrack', 'bet', 'addiction', 'haunt', 'olivia', 'world', 'rafe', 'world', 'trust', 'magnetism', 'deep', 'incredible', 'blue', 'eye', 'keep', 'draw', 'close']"
29492090,"['busy', 'wife', 'new', 'mother', 'business', 'owner', 'designer', 'emily', 'ley', 'come', 'point', 'suddenly', 'realize', 'need', 'simplify', 'life', 'organize', 'day', 'prioritize', 'priority', 'decide', 'hold', 'standard', 'grace', 'perfection', 'mantra', 'lead', ' ', 'busy', 'wife', 'new', 'mother', 'business', 'owner', 'designer', 'emily', 'ley', 'come', 'point', 'suddenly', 'realize', 'need', 'simplify', 'life', 'organize', 'day', 'prioritize', 'priority', 'decide', 'hold', 'standard', 'grace', 'perfection', 'mantra', 'lead', 'creation', 'bestselle', 'simplified', 'planner', '®', 'favorite', 'busy', 'woman', 'mama', 'executive', 'take', 'message', 'daily', 'planner', 'inspirational', 'book', 'encourage', 'woman', 'simplify', 'prioritize', 'design', 'emily', 'ley', 'signature', 'aesthetic', 'book', 'give', 'woman', 'tangible', 'way', 'simplify', 'life', 'space', 'matter', 'focus', 'faith', 'emily', 'remind', 'reader', 'god', ' ', 'pour', 'grace', 'surely', 'extend', 'grace', 'tell', 'end', 'exhausted', 'occasionally', 'sort', 'people', 'love', 'ready', 'new', 'way', 'see', 'time', 'learn', 'live', 'little', 'simply', 'hold', 'love', 'life', 'give', 'standard', ' ', 'allow', 'grace', 'seep', 'day', 'family', 'heart', 'idea', 'include', 'list', 'make', 'tip', 'create', 'effective', 'list', 'step', 'time', 'simplify', 'life', 'simplify', 'major', 'area', 'space', 'time', 'mind', 'strategy', 'center', 'day', 'intentionally', 'slow', 'rhythm', 'life']"
25507389,"['rule', 'priest', 'break', '\xa0 ', 'priest', 'marry', 'priest', 'abandon', 'flock', 'priest', 'forsake', 'god', 'good', 'follow', 'rule', '\xa0 ', 'come', '\xa0 ', 'tyler', 'anselm', 'bell', 'year', 'old', 'month', 'ago', 'break', 'vow', 'celibacy', 'altar', 'church', 'god', 'help', '\xa0 ', 'priest', 'rule', 'priest', 'break', '\xa0 ', 'priest', 'marry', 'priest', 'abandon', 'flock', 'priest', 'forsake', 'god', 'good', 'follow', 'rule', '\xa0 ', 'come', '\xa0 ', 'tyler', 'anselm', 'bell', 'year', 'old', 'month', 'ago', 'break', 'vow', 'celibacy', 'altar', 'church', 'god', 'help', '\xa0 ', 'priest', 'confession', '  ', 'priest', 'standalone', 'length', 'novel', 'hea', '\xa0', 'mature', 'audience']"
52408,"['young', 'woman', 'hire', 'book', 'heel', 'nightclub', 'take', 'wing', 'infamous', 'gloria', 'denton', 'mob', 'luminary', 'reign', 'golden', 'era', 'bugsy', 'siegel', 'lucky', 'luciano', 'notoriously', 'cunning', 'ruthless', 'gloria', 'show', 'eager', 'young', 'protege', 'rope', 'usher', 'glitterin', 'young', 'woman', 'hire', 'book', 'heel', 'nightclub', 'take', 'wing', 'infamous', 'gloria', 'denton', 'mob', 'luminary', 'reign', 'golden', 'era', 'bugsy', 'siegel', 'lucky', 'luciano', 'notoriously', 'cunning', 'ruthless', 'gloria', 'show', 'eager', 'young', 'protege', 'rope', 'usher', 'glitter', 'demimonde', 'late', 'night', 'casino', 'racetrack', 'bet', 'parlor', 'inside', 'heist', 'big', 'big', 'money', 'suddenly', 'world', 'foot', 'long', 'chance', 'like', 'fall', 'wrong', 'guy', 'roulette', 'wheel', 'turn', 'mentor', 'protege', 'scramble', 'stay', 'step', 'ahead', 'boss']"
354475,"['leonard', 'life', 'new', 'junior', 'high', 'barely', 'tolerable', 'friend', 'unusual', 'alan', 'share', 'extraordinary', 'adventure']"
44119,"['heart', 'pound', 'seattle', 'post', 'intelligencer', 'aviation', 'thriller', 'new', 'york', 'times', 'bestselle', 'author', 'john', 'j.', 'nance', 'venture', 'forward', 'take', 'reader', 'riveting', 'journey', 'life', 'death', 'lifetime', 'chance', 'disillusioned', 'life', 'kip', 'dawson', 'win', 'passenger', 'seat', 'american', 'space', 'adventure', 'commercial', 'spaceflight', 'dr', 'heart', 'pound', 'seattle', 'post', 'intelligencer', 'aviation', 'thriller', 'new', 'york', 'times', 'bestselle', 'author', 'john', 'j.', 'nance', 'venture', 'forward', 'take', 'reader', 'riveting', 'journey', 'life', 'death', 'lifetime', 'chance', 'disillusioned', 'life', 'kip', 'dawson', 'win', 'passenger', 'seat', 'american', 'space', 'adventure', 'commercial', 'spaceflight', 'dream', 'come', 'true', 'acceptance', 'prize', 'strike', 'terror', 'family', 'kip', 'set', 'ready', 'adventure', 'successful', 'launch', 'quickly', 'morph', 'chaos', 'micrometeor', 'punch', 'wall', 'spacecraft', 'leave', 'radio', 'dead', 'pilot', 'global', 'fight', 'survival', 'wait', 'death', 'kip', 'compose', 'epitaph', 'ship', 'laptop', 'computer', 'little', 'know', 'audience', 'million', 'soon', 'discover', 'cry', 'spark', 'massive', 'rescue', 'mission', 'honor', 'idea', 'world', 'hear', 'heroism', 'face', 'death', 'sabotage', 'good', 'chance', 'survival']"
35645311,"[' ', 'money', 'master', 'game', 'tony', 'robbins', '|', 'summary', 'analysis', ' ', 'classic', 'elaborate', 'topic', 'ponder', 'mind', 'secure', 'financial', 'freedom', 'family', 'take', 'control', 'money', 'necessary', 'evil', 'hush', 'hush', 'topic', 'conversation', 'deal', 'breaker', 'case', 'raw', ' ', 'money', 'master', 'game', 'tony', 'robbins', '|', 'summary', 'analysis', ' ', 'classic', 'elaborate', 'topic', 'ponder', 'mind', 'secure', 'financial', 'freedom', 'family', 'take', 'control', 'money', 'necessary', 'evil', 'hush', 'hush', 'topic', 'conversation', 'deal', 'breaker', 'case', 'raw', 'garish', 'money', 'master', 'game', 'create', 'revere', 'writer', 'name', 'tony', 'robbins', 'anthony', 'robbins', 'motivational', 'speaker', 'instructor', 'finance', 'course', 'great', 'writer', 'know', 'book', 'publish', 'november', 'new', 'edition', 'paperback', 'publish', 'march', 'book', 'indicate', 'go', 'secure', 'financial', 'freedom', 'family', '  ', 'exactly', 'tony', 'robbins', 'offer', 'book', 'money', 'master', 'game', 'simple', 'word', 'want', 'increase', 'quality', 'life', 'book', 'beautiful', 'insight', 'inspirational', 'thought', 'probably', 'help', 'enhance', 'ability', 'finance', 'honestly', 'speak', 'book', 'big', 'influence', 'body', 'emotion', 'relationship', 'money', 'strategy', 'knowledge', 'financing', 'describe', 'book', 'surely', 'inspiration', 'well', 'way', 'life', ' ', 'money', 'master', 'game', 'read', 'book', 'finance', 'unique', 'wonderful', 'strategy', 'personal', 'finance', 'teach', 'finance', 'book', 'look', 'inspire', 'book', 'read', 'finance', 'money', 'monster', 'game', 'great', 'option', 'novice', 'finance', 'money', 'book', 'complete', 'goldmine', ' \n   ', 'detailed', 'overview', 'book', '\n   ', 'valuable', 'lesson', 'information', '\n   ', 'key', 'takeaways', 'analysis', '\n  ', 'write', 'elite', 'summaries', 'note', 'detailed', 'summary', 'analysis', 'book', 'original', 'book']"
41859258,"['kenna', '   ', 'father', 'shock', 'announce', 'retirement', 'man', 'jorge', 'vernon', 'miami', 'bow', 'case', 'role', 'pass', 'son', 'leave', 'heir', '   ', 'know', 'city', 'mean', 'fuel', 'fire', 'people', 'matter', ' ', 'kenna', '   ', 'father', 'shock', 'announce', 'retirement', 'man', 'jorge', 'vernon', 'miami', 'bow', 'case', 'role', 'pass', 'son', 'leave', 'heir', '   ', 'know', 'city', 'mean', 'fuel', 'fire', 'people', 'matter', '   ', 'catch', 'hand', 'key', 'city', 'rule', 'alongside', 'man', 'father', 'hand', 'choose', 'oh', 'brother', '   ', 'happen', 'enemy', 'rise', 'unknown', 'people', 'think', 'trust', 'turn', 'one', 'fear', 'place', '   ', 'think', 'easy', 'turn', 'end', 'get', 'kill', 'possibly', 'man', 'suppose', 'pick']"
