book_id,publisher_id
630104,9158
9487,9159
32721558,9160
39030,9161
998,9162
311164,9163
32105,9164
14759015,9165
71292,9166
821003,9167
24876258,9168
80631,9169
81048,9170
7640261,9171
35226779,9172
176892,9161
138811,9173
15990489,9174
15743075,9175
10637766,9176
13549445,9177
550844,9178
13356504,9179
17234659,9180
25906415,9181
7431066,9182
23346719,9183
274400,9171
1977834,9184
228345,9172
7831145,9185
58893,9186
153783,9187
870461,9188
286136,9189
6419887,9190
228244,9191
3004139,9192
93729,9193
71869,9186
900682,9194
36347810,9195
124923,9182
2214574,9196
4842437,9197
7163862,9198
8662135,9199
97860,9200
10587120,9201
79484,9202
26936,9203
91760,9204
621687,9205
199635,9172
39097,9206
25975141,9181
1783289,9158
5498077,9171
7704979,9207
24764,9208
239065,9209
475965,9210
7129468,9211
1891296,9212
294042,9174
6556261,9213
8685644,9214
15549,9172
10414941,9215
10065348,9216
9761341,9216
19286623,9217
100629,9218
28978,9219
7943678,9207
167302,9220
311308,9163
16356,9221
82553,9186
16130758,9222
13425352,9171
922119,9223
5350,9224
294285,9225
22852698,9226
457762,9205
618924,9227
13151,9228
402,9220
104216,9229
244475,9230
7893,9171
878307,9163
12447,9173
85993,9193
226425,9231
3942622,9225
47241,9232
339026,9186
37451,9211
4134071,9233
146106,9234
140278,9235
137098,9162
1203668,9158
112075,9203
50725,9236
6503152,9225
264587,9237
1933181,9172
13806,9204
12700306,9238
17558817,9239
6572,9240
1125413,9241
45234,9242
6420,9243
13012638,9216
6519314,9244
10222362,9245
16707,9246
125432,9247
313605,9220
25242224,9248
8296,9193
105301,9249
93794,9250
943903,9251
545875,9252
6064646,9253
149621,9254
11750412,9255
102661,9256
15815333,9257
11237412,9171
127028,9258
177523,9259
20550148,9260
17735,9261
25892878,9262
22693811,9263
696703,9264
79090,9265
153193,9182
826583,9171
266599,9245
10329483,9266
511528,9267
2917367,9268
782898,9269
117904,9270
3064278,9271
13438524,9171
12121575,9260
137972,9272
15814479,9273
111831,9173
836610,9274
3071808,9158
597040,9275
5137,9191
901111,9276
45169,9277
143691,9230
7857727,9278
41958,9279
862108,9172
1033346,9280
16315,9281
9526,9282
13325079,9283
5055,9284
1946,9285
6340016,9286
32430,9182
1988040,9287
107792,9288
60483,9289
126507,9228
10816297,9290
15817326,9291
26031279,9292
23492741,9265
4447991,9293
24963,9294
1724365,9286
7346,9295
10822,9296
6359133,9202
2841694,9158
175828,9169
44236,9203
2073686,9297
670686,9298
762053,9209
10000,9203
155206,9247
613218,9299
649361,9240
74043,9300
2305862,9261
12764,9301
16182,9242
640029,9302
8350864,9174
21400356,9303
11746102,9304
15790833,9305
2535732,9306
961831,9209
4806,9306
7058405,9307
34524,9183
24156,9308
458313,9230
216196,9203
6280379,9309
10082035,9268
10174795,9217
1878,9203
609870,9310
143728,9311
50695,9203
17570751,9162
73051,9168
12882349,9312
47061,9313
16115,9256
129223,9314
233904,9172
3157877,9315
22193,9211
32957,9203
627055,9316
41951,9250
563457,9288
6084471,9317
73954,9220
2062048,9222
238126,9318
12389310,9319
252999,9320
51933,9203
27153413,9321
16114,9256
146109,9280
1034185,9322
20345202,9253
110396,9225
32940867,9323
534289,9324
16111,9256
2464531,9219
747746,9325
19528,9173
129117,9326
2182,9191
68333,9327
54589,9328
236814,9329
842746,9330
19476,9292
7780,9300
18249280,9331
109830,9203
9888794,9332
355656,9191
22192,9311
6321718,9333
667416,9334
233044,9335
355789,9336
42960,9337
9027853,9338
10551253,9292
4789801,9339
289813,9340
104344,9341
34272565,9342
24384,9299
38225791,9253
4907301,9343
456,9220
24903919,9190
366787,9220
179612,9344
774032,9345
25669,9346
71622,9227
7897478,9221
45241,9347
7312324,9348
389828,9349
10897866,9350
13020,9351
1049509,9352
72676,9353
19580,9182
6251471,9354
830784,9230
4364,9203
15046,9355
2002,9356
9394010,9357
1931915,9358
24804,9172
10402992,9359
2141,9360
634757,9361
18635016,9362
32758901,9363
48760,9364
74046,9300
3630983,9359
228534,9323
1022209,9365
140260,9366
114172,9225
2592122,9367
844935,9269
6503154,9225
232268,9208
6687247,9368
10048874,9295
27397,9203
179174,9305
53645,9369
16064853,9239
125209,9173
9462637,9217
110393,9370
188454,9313
427920,9371
231560,9372
105574,9225
3416,9225
32703,9373
10799807,9374
9554790,9375
572692,9376
146943,9313
6100797,9182
61898,9327
6777616,9253
78972,9377
25128811,9378
762563,9379
80672,9380
47922,9381
22189,9311
6793336,9220
159760,9257
104627,9382
22875451,9227
61115,9383
2420340,9384
3216451,9227
6090807,9230
17305783,9385
11277218,9386
13316328,9273
146108,9387
13642963,9253
15799936,9388
7101,9389
18232501,9390
292275,9391
228128,9392
343738,9393
92846,9394
13516487,9395
10283764,9396
170548,9373
74862,9397
35519101,9363
7103,9389
22191,9311
14707,9398
162314,9218
43684,9327
655739,9191
9553,9185
104790,9265
438923,9399
2606779,9400
9667658,9401
590324,9402
31324,9403
936611,9404
256280,9405
518982,9406
950143,9186
6514074,9188
54028,9407
36253,9408
2330877,9409
9527985,9350
19596,9247
6586456,9410
35465,9295
43545,9341
8241088,9411
96428,9280
3321397,9412
560929,9413
354284,9414
344199,9308
59821,9185
6219294,9415
128109,9265
761849,9416
4333469,9366
1199174,9417
42929,9240
564325,9418
7284118,9325
9260806,9419
8466327,9420
257962,9172
854456,9344
39704178,9252
5936327,9421
7380006,9422
62812,9423
8999892,9424
16071187,9425
3127326,9426
7057397,9427
11175530,9428
59865,9429
7302998,9430
62976,9431
12072969,9432
5805956,9433
9766063,9434
12889647,9435
960495,9436
6131767,9437
8602864,9438
17157183,9439
13497142,9303
13616989,9440
6287286,9441
9637428,9442
13504041,9443
15706108,9444
13248799,9445
1413068,9446
17155673,9447
15826651,9448
15719561,9449
16520900,9450
17210533,9451
786699,9301
9635325,9452
1442235,9453
13498352,9454
13144813,9455
17406952,9456
549237,9457
17339738,9458
17949078,9459
3263334,9460
18008226,9461
17354744,9462
18158535,9463
17334077,9294
7013431,9464
18229453,9350
18193486,9465
18171014,9466
1212610,9172
17296121,9467
18397548,9260
18136883,9468
29661618,9469
166562,9470
18620524,9471
10014677,9472
13645896,9473
18086498,9474
1062356,9475
18813386,9476
12914448,9477
18602977,9462
17586834,9292
18042290,9478
15725485,9304
43212281,9479
21936661,9480
21878763,9481
11731782,9482
21795442,9483
18530194,9484
1414,9485
22616552,9486
22008448,9487
23277468,9488
22918893,9489
22456474,9176
27816584,9490
23440900,9491
17466895,9492
1322303,9288
741481,9493
22884757,9494
362824,9182
19048521,9495
1071726,9496
22436841,9497
23681340,9498
20335752,9499
24545715,9500
25022297,9501
25319777,9502
25621823,9503
3831344,9504
25697968,9505
25878671,9506
25855637,9507
25339089,9508
3986964,9509
27268403,9510
28175937,9511
2484198,9512
17493,9513
28430735,9514
232467,9515
29388297,9516
29897456,9462
34182067,9462
18405537,9204
36390016,9517
32594382,9518
31447045,9519
1032,9172
34866611,9520
9698540,9521
32560066,9522
35038210,9462
37562415,9523
41815475,9524
40832734,9525
43175143,9526
44590965,9527
8225859,9528
29753206,9529
44076511,9530
45422326,9531
1934,9532
48678296,9533
115929,9534
2218102,9535
10086681,9536
49240716,9537
50391716,9538
13760,9539
331260,9540
116567,9541
44516,9220
3359011,9542
379160,9353
6192376,9543
3726872,9332
6420578,9544
2432061,9545
284338,9546
24816,9388
6771774,9547
6771730,9548
620790,9240
24611735,9549
108314,9550
7052308,9551
7532858,9552
765983,9553
1906946,9554
89838,9301
779511,9555
192954,9496
128518,9183
807002,9353
6235136,9556
10128608,9557
106588,9558
11203057,9303
77844,9203
936610,9404
199531,9172
21485,9277
10169662,9243
393601,9265
6972157,9559
369439,9217
9537041,9462
16099180,9300
6275767,9172
5927595,9560
590323,9561
274868,9171
127953,9562
26474,9203
14413557,9544
12878300,9563
16189172,9564
16067631,9565
101862,9566
13421433,9567
12555756,9568
1481578,9277
43327287,9505
17611261,9569
16164966,9570
15757694,9571
9768204,9462
9768203,9462
15821931,9572
28958920,9573
13152194,9203
19078625,9574
13420145,9575
18713134,9176
13162223,9576
94351,9577
2848807,9578
9786641,9171
12617286,9579
693447,9367
21899705,9580
56636,9159
18684615,9581
21816542,9582
11324334,9583
747061,9584
90574,9216
6046158,9585
22202,9586
24677549,9587
25012645,9588
23016659,9589
7664041,9590
13605258,9591
17185584,9592
18456078,9593
40605223,9594
31815310,9350
12970162,9595
25311873,9164
56961,9596
29762106,9597
36295291,9598
15818357,9327
28510777,9190
43468726,9599
38467635,9600
33116557,9601
42113688,9176
42870267,9602
43599898,9603
43790688,9604
7511615,9605
29567621,9606
35425827,9199
62794,9607
33310533,9608
51897150,9525
27845690,9609
51983178,9525
6390031,9469
49697722,9610
43708884,9611
13573419,9295
307962,9612
445126,9331
189182,9613
196766,9277
1967633,9614
143226,9615
15781,9217
14285,9203
147908,9616
1192521,9617
3741180,9618
50781,9619
7023148,9171
165856,9620
202650,9621
9924320,9622
3073174,9250
125209,9301
43713,9623
596986,9496
192955,9172
1118874,9227
11680603,9624
5820384,9625
150002,9626
11903141,9627
8161632,9628
362002,9629
12690450,9630
27297,9631
484143,9384
1205297,9632
14404,9174
18999,9633
44780,9407
13062235,9634
12351695,9635
13551716,9636
14624906,9637
16192492,9638
3426706,9639
9475932,9171
11714997,9479
6344897,9640
866136,9295
567610,9641
15734418,9642
37845319,9425
9242236,9643
2498049,9644
13517470,9645
16246625,9646
424760,9647
17118326,9648
