id_book,id_author
2,5954
32869,5954
6,2061
11,445
12,9789
15,1532
18,1423
19,195
21,19992
29936,1557
24,204
34201,658
28,817
31,161
32,575
33,575
34,5954
35,597
39,229
40,1685
16189,2024
44,107
46,5572
47,1620
48,6387
50,13031
52,22312
56,12991
58,1610
60,229
61,159
65,8980
66,9412
68,2436
69,942
70,5764
71,17596
72,17596
73,743
74,5440
75,9840
76,229
77,10296
78,2061
79,1510
80,1685
81,78
82,342
83,5726
84,1525
85,382
86,1404
87,2102
88,17733
89,132
90,9429
92,5459
95,5990
96,229
98,389
99,5396
100,578
101,2118
15588,3973
103,1704
105,1510
106,2320
22603,1610
109,12822
112,426
113,1812
114,1352
115,230
28074,7795
118,15569
119,131
120,17596
122,232
128,763
129,2623
130,1208
131,11327
133,8400
134,1450
136,8007
137,342
138,5832
139,2308
42792,2719
43904,17990
143,2969
146,396
149,5963
151,1018
152,13060
153,22011
155,757
49502,2719
157,1672
158,14337
21106,1610
162,388
163,20476
39101,3385
168,1423
169,2277
172,1510
174,13170
175,155
177,2490
178,1959
179,2069
180,179
181,1393
182,1517
183,9403
184,171
186,658
187,21725
188,946
192,15433
194,22415
195,4823
198,364
200,5764
201,8459
202,3008
204,385
207,156
208,1346
43142,1296
210,19992
211,703
212,395
213,8211
220,5459
221,17357
222,822
44033,403
224,11167
227,9021
228,4099
229,1171
230,10034
231,13040
235,5190
236,415
237,2118
238,1372
240,1423
241,1649
28982,3985
245,177
249,207
253,302
254,711
255,127
258,9840
259,797
261,2281
263,5391
265,18465
267,1540
269,1399
273,2118
276,11982
278,879
280,17688
281,1986
283,79
286,1798
43193,10415
289,1363
290,13600
294,3496
296,1735
297,930
299,3600
301,8005
43115,935
305,1360
307,688
308,129
309,162
310,3588
312,22507
42027,2390
317,5451
319,385
320,5459
321,1364
322,8987
323,2521
324,13
325,9011
326,2517
327,389
32622,4701
329,10889
330,7979
332,12222
333,5627
41404,732
337,711
338,18022
340,8235
341,19947
342,13
343,890
346,1939
349,1170
350,1259
351,844
352,947
353,17143
354,21521
355,948
356,2118
357,2118
46307,828
360,1388
362,138
363,1342
364,2441
365,11405
366,4194
367,844
368,90
370,844
371,13868
372,15250
22009,2118
375,7125
377,942
378,8275
379,1196
382,5451
384,2118
391,19233
394,14138
19888,1389
18969,3025
401,1388
403,21884
406,326
407,9535
409,21681
410,12222
415,364
419,6889
421,891
422,20701
426,574
24102,1559
432,4306
33506,3215
443,5405
445,9021
446,3296
447,1139
449,5566
451,1324
455,20539
456,9284
457,20253
22315,22643
45207,972
463,18085
466,18590
472,22011
473,1307
476,18570
477,11523
478,21397
482,2618
484,3382
485,12675
488,2614
489,2339
490,21627
492,2661
36594,286
506,1627
514,20579
520,3826
525,4432
527,2859
529,8787
530,5186
532,2249
533,4726
543,14401
550,18108
41597,137
575,5024
577,10000
584,2378
585,598
586,590
587,19770
588,454
592,12218
593,1002
594,1969
597,137
600,19770
601,22805
607,1224
613,20466
615,899
616,938
617,1763
619,1350
622,5230
623,440
33165,5764
625,1499
626,14138
631,4809
635,4487
640,3714
644,1694
646,201
647,1641
648,1010
650,7711
651,9061
656,6137
657,924
658,10237
659,4571
660,8796
661,20899
662,16853
663,1762
664,1383
39052,17317
666,10944
47950,2137
671,92
26166,5275
31073,4441
675,15119
677,9532
678,1306
686,1141
697,120
698,5410
714,10310
718,14979
720,2979
722,22855
723,1555
727,952
728,9345
730,27
732,4281
733,1774
735,2392
739,1525
740,9802
741,966
748,2157
749,2571
750,995
752,1735
754,7006
22714,465
756,972
757,8976
758,2247
759,502
763,1908
767,265
769,2132
770,1487
771,11523
775,20002
36914,1950
781,7711
784,1557
787,1126
788,736
790,21480
791,91
792,4453
794,6584
796,2588
799,2627
801,2212
803,2214
804,2214
807,5186
809,4975
814,19869
815,4726
47594,1450
817,778
42862,4726
819,22279
822,18331
831,325
834,713
836,98
838,4666
842,2166
844,3349
845,10175
847,7197
849,5049
853,20854
858,917
860,21884
862,2363
864,12465
867,4390
869,19947
880,942
882,18970
885,1030
889,2226
893,1407
894,15782
895,5602
897,17130
901,3852
902,1494
904,2410
905,725
906,5593
907,938
28509,19250
916,779
920,19032
923,20827
925,21664
926,4441
927,3656
930,20214
931,4277
932,3137
935,10731
936,113
938,2571
939,225
940,201
944,202
945,202
947,1789
949,2083
956,19770
958,438
962,332
963,14543
26320,344
968,4294
973,15115
976,655
977,9676
44694,21908
979,5666
982,5808
988,876
993,761
995,8026
996,2408
997,8060
1007,849
1010,363
1011,5638
1016,18278
22261,1334
1018,1334
1019,1334
1020,505
1022,381
1024,501
1027,838
1029,972
1030,9556
29972,4487
1032,398
1035,5801
1036,19250
1037,1405
1039,713
1040,436
1042,13024
1047,21507
31764,9676
1050,275
1051,849
1052,9049
1053,9049
1055,2258
1058,2359
25725,1494
1060,853
1066,19992
1071,220
1072,20312
1077,5186
1078,21936
1079,7980
1086,19631
1089,22646
15926,2064
1092,109
1094,22332
1095,7388
1098,20214
1103,22222
1107,1025
1109,19134
1110,1026
1111,3581
15012,214
16650,3739
1121,371
1122,3535
1124,18178
1125,7040
1126,1143
1132,6824
1133,5778
1135,14505
1136,809
1141,1423
1142,1383
1143,1407
1145,346
1146,18046
1147,763
27232,4215
1150,22059
1151,1559
1152,152
1153,900
1154,670
1156,389
1162,1769
909,2363
1167,326
1176,8022
1177,131
1179,2638
1180,300
1181,6870
1182,10338
24939,22434
1185,1556
17450,7929
1188,2061
1189,18009
1190,22658
1195,2341
16578,467
1197,2230
1202,5012
1203,10115
1204,55
1206,776
1208,9054
49136,16915
50914,206
1211,4518
1213,1417
1214,2744
1215,22389
1216,2153
1218,300
37274,1494
1222,7442
1223,4551
1226,1991
1230,12535
1231,636
1232,11234
1235,296
1236,297
1238,12481
1241,3668
1243,358
1245,406
47885,1011
1253,1749
1255,3650
1256,1044
1261,2449
1262,4681
1264,1414
1267,5374
1271,2481
1272,2083
1273,428
1275,2744
1284,9278
1290,7162
1291,932
1292,3025
1293,1392
1294,9784
1296,399
51500,4787
27218,4215
1302,2625
1303,2856
1304,1520
1305,22805
22315,410
1307,19774
1309,2341
1310,11234
1312,1959
1313,7347
1316,12838
1317,8967
1320,8358
32399,1525
1324,5838
1325,22855
1326,499
1327,15430
1328,918
1333,133
25608,893
1336,966
1339,1672
1344,3005
1345,8898
32447,995
1349,1577
1351,18881
1355,759
1358,9407
1362,1392
1363,10476
1364,8060
1365,394
1366,17498
1369,9207
1371,21278
1372,1328
1373,6449
1375,1276
1378,2258
1380,13435
1381,13435
25628,18053
1229,2359
1385,2245
1386,2539
1387,448
1390,11523
1391,9661
1397,1984
1399,19992
1400,7
19779,18251
1407,8818
36978,18251
1410,5186
1418,264
1421,9412
1424,257
1427,13435
1428,9576
1429,1481
1432,15374
1434,11
1438,19301
1439,1283
1444,19531
1446,16652
1450,16872
15734,12186
1457,10115
1458,2258
1459,10474
1463,880
1466,1384
1470,1234
1472,4231
1473,916
1475,1446
1476,364
1478,4558
1479,1969
1481,763
43377,4534
1483,110
1485,1761
1487,1169
1488,10415
1489,810
1495,2553
1498,19947
1499,12540
1500,21989
1504,4401
1506,8968
1507,12222
1510,3595
1514,4487
1515,4807
1516,3595
1517,1338
15519,9802
1522,2258
1524,2040
1526,3530
1541,1923
1542,5641
1545,8351
1546,10183
1548,21053
1551,4352
1554,206
1555,11989
1556,393
1557,9031
1558,1026
1562,853
1563,10247
1564,9243
1565,19278
1567,1585
1569,1743
1570,1743
1572,229
1573,1636
1575,2400
1578,4277
1579,8404
1580,920
1581,7654
1582,2904
1583,647
33087,74
1587,614
1588,1284
15809,591
1593,742
1596,20038
1597,1537
1598,714
1600,3204
1605,1469
1607,21043
1609,18845
1612,2183
1614,754
1615,5807
1616,222
1617,2824
1618,2824
1619,133
1621,1272
1623,2010
1625,2495
1628,2317
1633,2325
1634,1406
1636,88
1637,125
1638,22820
1639,2441
1640,7197
1641,11
1642,11
1645,19738
32452,1686
1649,2573
1650,3130
43786,1684
1652,12222
1653,1259
1655,658
34077,8967
1658,1773
1661,1685
1663,761
1668,9561
1669,2161
1678,465
1679,18881
1680,3329
1685,4487
1691,160
1692,19247
1694,1702
1696,7947
1700,490
1701,16525
1702,5097
1706,8789
1707,971
1709,1494
17157,470
1719,4928
1721,7
1722,14401
1723,1722
1724,1656
1725,21388
44009,339
1727,5186
1728,12440
1729,9786
1731,3558
1732,6229
1733,3708
1735,424
1739,1576
1740,2573
1742,9278
1748,5374
1750,1797
1751,202
1752,9789
1753,6091
1754,6091
1755,222
1760,1517
1761,2887
1762,11085
1767,440
1768,10239
1769,1829
1770,1732
1772,885
1773,22656
1774,7910
1776,1834
1779,580
1780,14979
1781,14979
1782,1354
1783,7438
1788,4195
1791,909
1792,5581
1795,2244
1796,1183
1797,18378
43256,126
43767,1501
1801,777
1802,4642
1806,1547
1808,2324
1809,1175
1810,1192
1811,22325
1812,2081
1813,347
1814,406
1818,2266
1822,7137
1824,2118
1827,89
1829,4666
1830,2170
1833,170
1834,4661
1835,9750
1837,3608
1839,19862
1840,1395
1844,1510
1851,81
1852,866
1855,2091
1857,7
1861,1745
1862,21123
1865,736
1866,2571
1867,21298
1868,19615
1878,1256
20087,10537
2682,5551
22603,10547
1887,88
1891,1801
1894,2451
1895,4390
1896,16873
1897,3656
1901,8411
1907,1433
1911,81
1913,1988
1914,7379
1893,364
1916,364
1917,10321
1919,2268
23238,15226
1923,4412
1925,1393
1927,19032
1928,763
1929,407
1930,6601
1931,8860
1935,22027
1936,856
1937,1559
1938,8001
1940,9478
1941,8967
1945,2400
45237,1333
1947,19738
1949,16495
1950,2325
1952,2522
1954,15321
1955,9964
1963,18660
1964,935
1966,8302
1968,16948
1971,1396
22977,1175
1975,850
1976,1354
1977,9562
1978,2052
19036,1718
1983,2135
1984,12439
1985,5387
1988,8818
1989,1494
1990,1494
1994,15926
1995,1405
1997,3029
1999,1745
2000,20610
2001,707
2002,20868
2003,15680
2005,1492
2006,20635
2007,1085
2009,1669
2012,2093
2017,6278
2020,740
2022,2281
2024,1102
2026,3826
2029,914
2031,1278
2033,9991
23334,4229
2037,75
2040,2243
2042,2243
2046,19979
2048,1389
2049,1755
2050,81
2051,1331
2052,1507
16026,1498
2055,765
2058,1446
2062,19037
2064,1198
2065,14758
2066,183
2067,183
2069,1380
2070,21412
2072,1559
2073,5827
2074,2992
2075,40
46705,18908
2077,22483
2078,11151
2080,17305
2081,1504
2082,162
2090,439
2091,3209
2093,769
38277,22396
2097,8409
2102,9262
2103,612
2104,5190
2105,2166
2108,3608
2109,3927
2112,5317
45842,1064
2116,2894
2117,1028
2118,12439
2120,4928
2121,394
2122,1834
2124,21958
23946,2719
2126,1008
2127,15011
2129,12454
2134,230
2135,9357
2136,6552
2137,22007
2139,359
2140,162
2142,1112
2143,19786
2144,117
36417,1026
2146,614
2147,2573
2148,658
2150,341
2151,285
2152,2469
2153,264
2154,4741
2158,1331
2161,259
2163,1422
2164,5860
2165,2954
2166,9840
2167,1535
2169,1030
2172,476
2175,97
2177,20059
2180,621
2181,5956
2182,8411
2186,22066
2187,2521
2188,18050
2189,17113
2190,4583
2194,10311
2195,2284
2197,626
2199,18946
2200,10369
2201,465
2202,4178
2203,22450
2204,17340
2206,128
2207,15573
2208,4962
2209,8853
2211,6850
2212,980
2214,437
2215,3242
27650,215
2219,12974
2221,15498
28824,947
2223,1943
2224,2305
2225,15690
2227,1505
2229,9743
2231,940
2235,4662
2238,13435
2241,1169
2242,7927
2245,21837
2250,5581
2256,2165
2260,1368
2262,4804
2264,15573
2267,4983
2270,4806
2274,1493
38515,17444
2283,1022
2284,148
2289,9011
2292,19217
2295,1028
2297,1498
2299,1228
2301,89
2303,1909
2304,9290
2305,1375
43377,12718
2308,124
2309,1820
2311,9019
2318,17589
2319,12973
2322,938
2325,122
2326,2201
2328,21953
2329,958
2332,990
2333,311
2336,3608
39280,1507
2339,1507
2340,4451
2343,88
2345,156
2346,1337
2347,12439
2348,12439
2349,21122
2350,5961
2352,4596
2353,4666
2354,291
2359,3541
15965,16262
2362,21023
17445,4762
2364,7425
2365,7
46908,19073
2371,2945
2372,19583
49502,20868
2374,4666
2375,898
2376,5
2377,850
2378,5689
2379,603
2382,10487
2385,8898
2388,358
2390,22855
2395,126
2398,20214
2401,10415
2403,1498
2404,88
2405,1531
2406,1897
2407,2221
2412,17758
2413,6364
41932,1525
2416,7371
2419,4307
2421,20332
2422,447
2424,97
2425,1632
2428,1535
2429,1038
2432,20028
2435,1197
2436,2431
2439,1446
2441,3897
2442,2253
2443,351
2444,9603
2445,11217
22315,1656
2448,1212
2451,15261
2452,356
2453,1515
2457,1415
2458,2428
2461,10155
2463,5904
2465,13237
2466,14986
2468,1592
2470,1760
2471,9475
2472,1668
2474,15549
30958,1228
2477,388
2478,1283
2482,287
2485,30
2486,1205
2488,237
30192,1834
2490,1005
2491,1451
2492,1600
2493,1295
2494,756
19084,5388
2497,12440
2498,1722
2499,81
2502,13969
2505,4666
2507,612
2509,9661
22704,18072
2513,287
2514,307
2517,251
2519,9789
2520,5671
2523,21091
2524,20978
2526,2244
2528,5546
2530,148
17380,1310
2533,1502
2534,364
2536,1514
2537,380
2540,1554
2541,476
2542,5851
2543,1755
37056,1406
2545,1228
2549,1446
2550,11879
2551,1330
2552,344
2553,4231
2554,22432
2555,1198
17247,1389
2558,1444
2560,1957
2562,1310
2564,1502
2565,393
2566,8898
2567,22293
2569,1258
2571,14598
2572,17894
2574,2449
2575,8170
2576,599
2577,1665
2579,11186
2583,1510
2585,5264
2586,364
2587,1040
2589,5478
2591,1364
2593,958
2594,1693
2596,8960
15701,2655
2598,20260
2599,4617
2600,1040
2601,1328
2602,21953
2603,4662
2604,225
2605,22235
2610,230
2611,1510
2621,10768
2622,2824
2627,1479
2628,403
2633,4823
2634,4484
2639,5087
2641,2623
2643,5194
2644,5225
2646,3666
2649,1354
2650,2283
2653,8870
2654,1028
2655,1755
2656,4113
2657,9237
2659,809
2660,12675
2661,9309
2662,1611
32946,22695
2670,2081
2671,412
2672,386
23707,1986
2677,1990
2678,1026
2680,191
2681,356
2682,2092
2685,4635
2686,5780
2688,5780
2689,16407
2690,750
2692,8805
2694,11186
2695,1603
2697,353
2699,1959
2700,2655
2701,2655
2705,1888
2706,97
2708,6364
2709,16525
2710,5796
2711,14790
2716,129
2717,1494
20795,1494
2721,436
2722,9820
2724,379
2727,7202
2729,2331
2730,2331
2731,9784
2733,3685
2735,15610
2736,208
2741,15236
2748,7744
2751,9412
2757,5960
2761,6533
2763,1263
2764,3897
2766,1260
30604,410
2768,4366
2770,364
2771,1330
2772,418
2774,1558
2776,1446
2777,3589
2779,4056
2780,1272
2781,21529
2783,4823
2784,11711
2785,4659
2787,4576
2789,1630
2790,4698
2791,18968
2793,15
2794,932
2795,157
2797,9439
2799,7384
2800,470
2801,15795
2804,4751
2807,6386
2809,3680
2810,16426
2811,2655
2812,2655
2813,13432
25003,208
2818,5684
2821,750
2823,1169
2824,20002
2826,2166
2828,4378
2830,1359
2831,19850
2832,2728
2833,1085
2836,1724
2841,15926
2843,19850
41056,19850
2850,2075
2851,2174
2855,5556
2861,14237
2863,14681
2869,1342
2870,5811
2873,2341
2875,2074
2876,9561
2877,1510
2878,5902
2879,162
2880,613
2885,1427
2887,2065
17566,715
26655,13435
2895,724
2896,7417
2897,237
2898,10310
2900,1151
2901,12387
2902,5900
28023,10212
2906,724
2907,98
2911,247
26297,12883
2915,2347
2916,16525
2919,22219
2922,8384
2923,9984
2924,995
2925,995
2926,4666
2928,143
2929,336
2931,5738
2935,1756
2938,21300
2940,4959
2942,12544
2943,82
15809,230
2945,849
2946,19809
2949,8746
2950,4869
2954,2174
2955,3005
2956,1800
2961,449
2964,1208
2965,14601
2967,2222
2968,4904
2969,452
2971,3349
2973,9228
2974,8991
2978,612
2979,7235
2980,145
2982,356
2985,175
2988,20440
2989,17713
2992,16916
2993,20859
2994,2416
2995,8059
2997,1990
2998,9500
2999,414
3000,480
3001,9793
3002,22312
3003,2654
3004,9130
3005,3680
3010,2596
3012,1510
3014,414
3015,20990
3016,4099
3018,5581
3019,10194
3021,12327
3022,4798
3026,15226
3027,1656
3029,662
3032,254
51801,293
3035,5387
3038,14618
3039,294
3040,1353
3044,7082
28023,1525
3046,15683
3052,12675
3054,111
3055,1755
3056,21394
3058,4904
3061,1183
3064,794
3068,9984
3071,6752
3072,1410
3073,8409
3074,356
3075,21620
3077,1028
36878,182
3079,1303
3080,186
3082,919
3087,1407
3089,1753
3090,18618
3092,8059
3094,5373
3095,995
3096,16208
3097,1017
3099,501
3102,376
3103,12222
3104,8898
3105,840
20155,10024
3111,4214
3113,424
3114,942
3116,1211
3117,5684
3118,2583
3119,4101
3121,2112
3122,2294
3126,15250
3129,14126
3131,2165
3133,289
3134,5595
37746,251
3136,78
3138,323
3140,1465
3141,22281
3143,837
3147,20975
3149,1406
3152,1430
3153,874
3156,175
3158,578
26225,4809
40066,1959
28074,7873
3162,914
3163,2819
3164,20698
3165,1537
3167,356
3169,1686
3171,131
3174,2032
3175,351
3178,5923
3179,8770
3181,10338
3182,8177
3185,1701
3186,6032
3188,12222
3189,849
3190,166
3195,2616
3196,5544
3197,17848
3201,9789
3202,18434
3203,710
3204,5492
3205,1918
3207,22219
3208,10194
3213,8455
3216,1695
3217,6033
3218,1509
3219,15368
3221,5066
3226,1353
3227,1493
3228,1102
3234,1125
3238,380
3241,5440
3242,107
3245,1018
3246,640
3248,7508
3249,20383
3250,1520
3251,5967
3252,5967
3253,570
3254,2092
3255,1693
3257,14739
3258,877
3259,2632
3261,9011
3262,356
3264,15558
3268,3107
3269,5776
27234,2404
3272,612
24488,3449
3274,8059
3279,995
39582,2652
3282,12222
3284,4125
3286,2321
3287,5345
20623,1011
3291,3594
3292,1184
3294,8324
26422,1656
3296,10084
3297,2087
3299,385
3302,2072
3303,1740
3304,3757
3306,22881
3308,1492
3311,15642
3312,1486
3313,5089
3315,121
3317,1537
3318,1894
3320,15
3321,1314
3322,310
3323,1314
3328,1785
3330,1969
3331,16793
3332,1102
3335,1755
3338,9840
3339,903
3340,442
3342,132
3344,9412
3348,18336
3349,18336
3350,5967
3351,5967
3352,148
3353,1583
3354,817
3356,2087
3358,1986
3361,3546
3362,15261
3367,18866
43591,10215
3369,401
3370,152
3371,1038
3372,356
3373,10369
3374,1348
3375,9345
21106,1259
3378,4248
3379,612
3383,21491
3384,461
3386,5373
3389,386
3390,2536
3393,2812
36914,3680
3395,5912
3397,596
3399,22415
32925,1283
15985,250
3405,4803
3407,1352
3408,1102
3409,2319
26250,850
3416,1367
3417,4341
3418,156
3419,2672
3420,1539
3421,16849
3422,1353
3423,22312
3425,248
3426,12731
3430,196
3431,8081
3432,437
3433,835
3434,21864
3436,18946
3438,1789
3439,21807
18956,1261
35604,1833
3445,2118
3446,15236
3447,2408
3450,9833
3451,10465
3452,2546
3453,18336
3454,5967
3455,5967
3456,5967
3457,1406
32836,1188
3460,15782
3461,162
3462,1189
3463,1562
3465,14401
31915,4576
3467,985
3469,1858
3470,1858
39848,1700
3474,1716
3476,132
3479,21177
3480,850
1661,17349
3482,15795
3483,5322
3484,6299
38966,5819
17723,10485
3487,8898
3488,195
3489,9984
3490,1502
3491,8409
3493,2233
3494,3810
3496,5255
36123,990
3500,239
3501,168
18073,202
3503,385
37126,436
3505,1102
3507,14126
3510,647
3513,16679
3514,107
33559,3099
3519,5288
3520,9261
3521,18194
3522,1314
3524,773
3526,4453
3529,446
3532,9231
3536,177
3537,18858
3540,3515
3541,814
3543,5459
3546,3349
3547,1412
22021,4537
3553,10523
37622,1407
3556,3007
3560,886
3561,513
43702,17446
3567,1029
3568,2322
3569,5541
3570,2320
24187,5470
3574,918
3575,20333
3576,12995
3580,3680
35260,12904
3582,1600
3583,7347
3586,1328
35042,208
3590,177
3591,1245
3592,150
15588,1352
3598,4538
3599,9475
3600,1353
3601,1102
3606,4756
3610,239
3049,1370
3614,89
3615,5950
3616,12589
15594,5954
3621,1446
3623,18336
3624,18336
3626,19419
3627,20252
3630,1018
3632,14662
3634,1772
3638,14281
3639,13327
3641,658
39800,1322
3643,5544
3644,22281
24276,179
3646,5984
3647,1164
3648,17589
3650,763
3654,1719
3655,15795
3656,6643
3657,1604
3658,1691
3659,9888
3661,452
35386,2062
3664,394
3668,4590
3669,5391
3672,5316
3673,4666
3679,385
39915,4477
3682,4486
3684,9523
3685,950
47886,5957
15012,15300
3701,1762
3706,384
3707,18845
3711,2015
3712,1384
3713,9802
3714,6348
3715,1755
3716,9840
3717,3999
3718,19365
3720,20028
3722,1412
3724,3532
38271,1828
3727,22467
3728,5212
3729,1188
3731,179
3732,1656
21225,19853
37863,11007
3741,1762
25619,10349
3745,4858
3746,1018
3747,21158
3748,95
3749,502
43170,502
3751,502
3752,838
31287,890
3757,5087
3759,17107
3760,5377
3763,1492
3764,19237
3765,584
3766,6774
38042,342
3772,239
3279,385
3778,1175
3784,906
3786,1102
16732,272
3796,3563
3800,325
3802,5228
15674,2045
3805,9568
3807,850
3808,2343
3810,12822
3811,10488
3812,18336
20250,1188
3815,22066
3816,4697
51000,621
3819,1683
3820,105
3821,14717
3823,1557
3826,4751
44033,12903
3832,10372
3835,22095
3837,19714
3838,14676
3839,667
3840,1510
3842,19603
3843,781
3844,2230
3845,19037
3848,856
3849,13
23273,9802
3854,1340
18283,169
23766,947
3860,4486
3861,1883
3862,4538
