"genre_id","book_id","nb_of_vote","genre_name"
"31538","630104","161","Young Adult"
"31234","630104","45","Mystery"
"31365","630104","32","Romance"
"30812","9487","114","Christian Fiction"
"30811","9487","45","Christian"
"31007","9487","33","Fiction"
"31365","9487","16","Romance"
"30812","6050894","174","Christian Fiction"
"30811","6050894","81","Christian"
"31007","6050894","58","Fiction"
"31489","39030","626","Thriller"
"31234","39030","493","Mystery"
"31104","39030","432","Horror"
"31007","39030","422","Fiction"
"30933","998","1162","Economics-Finance"
"31257","998","910","Nonfiction"
"30784","998","817","Business"
"31008","998","471","Finance-Personal Finance"
"31426","998","327","Self Help"
"30903","998","296","Currency-Money"
"30932","998","178","Economics"
"31427","998","114","Self Help-Personal Development"
"30767","998","52","Audiobook"
"31323","998","49","Psychology"
"31365","311164","550","Romance"
"31081","311164","316","Historical-Historical Fiction"
"31084","311164","234","Historical-Regency"
"31373","311164","229","Romance-Historical Romance"
"31072","311164","198","Historical"
"31007","311164","161","Fiction"
"31365","32105","725","Romance"
"31081","32105","395","Historical-Historical Fiction"
"31373","32105","332","Romance-Historical Romance"
"31084","32105","285","Historical-Regency"
"31072","32105","252","Historical"
"31007","32105","173","Fiction"
"31007","377993","106","Fiction"
"30730","377993","26","American-Southern"
"31053","377993","23","Gothic-Southern Gothic"
"31432","71292","947","Sequential Art-Comics"
"31434","71292","319","Sequential Art-Graphic Novels"
"31429","71292","160","Sequential Art-Bande Dessinée"
"31007","71292","142","Fiction"
"31119","71292","112","Humor"
"30874","71292","96","Cultural-France"
"31301","821003","599","Poetry"
"30798","821003","384","Childrens"
"30831","821003","301","Classics"
"31007","821003","149","Fiction"
"30986","24876258","2449","Fantasy"
"31406","24876258","889","Science Fiction-Steampunk"
"31007","24876258","343","Fiction"
"31392","24876258","333","Science Fiction"
"30767","24876258","133","Audiobook"
"30710","24876258","129","Adventure"
"31393","24876258","103","Science Fiction Fantasy"
"30707","24876258","85","Adult"
"30990","24876258","58","Fantasy-Epic Fantasy"
"30999","24876258","53","Fantasy-Urban Fantasy"
"31234","80631","195","Mystery"
"31007","80631","146","Fiction"
"31489","80631","127","Thriller"
"31485","80631","51","Suspense"
"30749","81048","81","Art"
"31257","81048","37","Nonfiction"
"31426","81048","14","Self Help"
"30768","81048","10","Autobiography-Memoir"
"31124","81048","9","Inspirational"
"31139","81048","9","Language-Writing"
"31257","7640261","1134","Nonfiction"
"31391","7640261","560","Science"
"31087","7640261","426","History"
"31440","7640261","330","Sexuality"
"31323","7640261","307","Psychology"
"30745","7640261","211","Anthropology"
"31007","22028","283","Fiction"
"31236","22028","112","Mystery-Crime"
"31489","22028","60","Thriller"
"31234","22028","38","Mystery"
"30986","176892","1109","Fantasy"
"30989","176892","132","Fantasy-Dragons"
"31007","176892","88","Fiction"
"31393","176892","45","Science Fiction Fantasy"
"30993","176892","43","Fantasy-High Fantasy"
"31087","138811","244","History"
"31257","138811","64","Nonfiction"
"30892","138811","47","Cultural-Russia"
"31220","138811","26","Military-Military History"
"31509","138811","20","War"
"31510","138811","19","War-Military Fiction"
"31007","15990489","653","Fiction"
"30881","15990489","151","Cultural-Ireland"
"31365","15990489","118","Romance"
"31530","15990489","114","Womens Fiction-Chick Lit"
"30767","15990489","102","Audiobook"
"30850","15990489","86","Contemporary"
"30708","15990489","61","Adult Fiction"
"30967","15990489","44","European Literature-Irish Literature"
"30707","15990489","43","Adult"
"31529","15990489","30","Womens Fiction"
