"book_id","book_title","nb_of_pages","book_description","settings","isbn","isbn13","original_title","review_count","one_star_rating","two_star_rating","three_star_rating","four_star_rating","five_star_rating"
"6065889","The Price of Spring","352","Fifteen years have passed since the devastating war between the Galt Empire and the cities of the Khaiem in which the Khaiem's poets and their magical power known as "andat" were destroyed, leaving the women of the Khaiem and the men of Galt infertile. The emperor of the Khaiem tries to form a marriage alliance between his son and the daughter of a Galtic lord, hoping the K Fifteen years have passed since the devastating war between the Galt Empire and the cities of the Khaiem in which the Khaiem's poets and their magical power known as "andat" were destroyed, leaving the women of the Khaiem and the men of Galt infertile. The emperor of the Khaiem tries to form a marriage alliance between his son and the daughter of a Galtic lord, hoping the Khaiem men and Galtic women will produce a new generation to help create a peaceful future. But Maati, a poet who has been in hiding for years, driven by guilt over his part in the disastrous end of the war, defies tradition and begins training female poets. With Eiah, the emperor's daughter, helping him, he intends to create andat, to restore the world as it was before the war. Vanjit, a woman haunted by her family's death in the war, creates a new andat. But hope turns to ashes as her creation unleashes a power that cripples all she touches.  As the prospect of peace dims under the lash of Vanjit's creation, Maati and Eiah try to end her reign of terror. But time is running out for both the Galts and the Khaiem.","","076531343X","9780765313430","The Price of Spring","296","69","195","918","2124","1919"
"6624080","Obedience to Authority: An Experimental View","224","In the 1960s Yale University psychologist Stanley Milgram famously carried out a series of experiments that forever changed our perceptions of morality and free will. The subjects—or "teachers"—were instructed to administer electroshocks to a human "learner," with the shocks becoming progressively more powerful a In the 1960s Yale University psychologist Stanley Milgram famously carried out a series of experiments that forever changed our perceptions of morality and free will. The subjects—or "teachers"—were instructed to administer electroshocks to a human "learner," with the shocks becoming progressively more powerful and painful. Controversial but now strongly vindicated by the scientific community, these experiments attempted to determine to what extent people will obey orders from authority figures regardless of consequences. "Milgram's experiments on obedience have made us more aware of the dangers of uncritically accepting authority," wrote Peter Singer in the  . Featuring a new introduction from Dr. Philip Zimbardo, who conducted the famous Stanford Prison Experiment,   is Milgram's fascinating and troubling chronicle of his classic study and a vivid and persuasive explanation of his conclusions.","","006176521X","9780061765216","Obedience to Authority: An Experimental View","179","35","102","543","1195","1525"
"638991","One Blood: The Biblical Answer to Racism","176","More than half a century has passed since the horrors of the Nazi racial extermination camps were revealed to a disbelieving world. Yet the battle of ethnic hate and violence remains one of the burning issues of our time. Billions of dollars are spent fighting it. Oprah devotes entire programs to it. Presidents consult civic and religious leaders; everyone seems to be wres More than half a century has passed since the horrors of the Nazi racial extermination camps were revealed to a disbelieving world. Yet the battle of ethnic hate and violence remains one of the burning issues of our time. Billions of dollars are spent fighting it. Oprah devotes entire programs to it. Presidents consult civic and religious leaders; everyone seems to be wrestling with the problems of racial prejudice, yet solutions evade us. What does race really mean? Are there really multiple races of humans? Where did this concept originate?","","890512760","9780890512760","One Blood: The Biblical Answer to Racism","23","9","6","37","77","127"
"44246","Stars in Their Courses: The Gettysburg Campaign, June-July 1863","304","Historian/novelist Foote's masterly work has been culled from his critically acclaimed three-volume narrative of the Civil War.","","679601120","9780679601128","Stars in Their Courses: The Gettysburg Campaign, June-July 1863","90","10","26","132","446","883"
"10428848","Sexiest Vampire Alive","370","He was both a vampire and a playboy . . . and impossible to resist. When a video reveals to the world that vampires live among us, it's up to "young" vamp Gregori Holstein, VP of Marketing, to persuade the U.S. government to declare the video a hoax. But first the president wants a favor, one that requires Gregori to spend forty-eig He was both a vampire and a playboy . . . and impossible to resist. When a video reveals to the world that vampires live among us, it's up to "young" vamp Gregori Holstein, VP of Marketing, to persuade the U.S. government to declare the video a hoax. But first the president wants a favor, one that requires Gregori to spend forty-eight hours in very close contact with the First Daughter. Abby Tucker would rather spend her nights in a lab than attend her father's state dinners. She's dedicated her life to finding a cure that will save her dying mother and needs only two more ingredients. To find them, she'll have to venture into the most dangerous region of the world—with a vampire. Her Armani-clad escort may be Undead, but he still makes her heart race. And the greatest danger won't be the predatory hordes lying in wait for them; it will be her undying desire for the Sexiest Vampire Alive.","New York State(United States)","61958050","9780061958052","Sexiest Vampire Alive","427","70","271","1496","3099","4386"
"462684","The Story of Tracy Beaker","224","'I'm Tracy Beaker. This is a book all about me. I'd read it if I were you. It's the most incredible dynamic heart-rending story. Honest.' Tracy is ten years old. She lives in a Children's Home but would like a real home one day, with a real family. Meet Tracy, follow her story and share her hopes for the future in this beautifully observed, touching and often very funny tal 'I'm Tracy Beaker. This is a book all about me. I'd read it if I were you. It's the most incredible dynamic heart-rending story. Honest.' Tracy is ten years old. She lives in a Children's Home but would like a real home one day, with a real family. Meet Tracy, follow her story and share her hopes for the future in this beautifully observed, touching and often very funny tale, all told in Tracy's own words.","","440867576","9780440867579","The Story of Tracy Beaker","492","612","1598","5078","5116","5363"
"914608","Treasure Island","240","The world's best-loved children's stories set in large type for easy reading. -- Over 100 illustrations in each book Great Illustrated Classics","","866119582","9780866119580","","106","37","153","799","1127","1380"
"864431","Haunted England: Royal Spirits, Castle Ghosts, Phantom Coaches, & Wailing Ghouls","222","Haunted England: Royal Spirits, Castle Ghosts, Phantom Coaches, & Wailing Ghouls  WHITAKER, Terence Haunted England: Royal Spirits, Castle Ghosts, Phantom Coaches, & Wailing Ghouls  WHITAKER, Terence","","088029471X","9780880294713","Haunted England: Royal Spirits, Castle Ghosts, Phantom Coaches, & Wailing Ghouls","0","0","0","0","0","3"
"16763","The Case of the Glamorous Ghost","232","Master defense attorney Perry Mason is hired by a young woman to protect her scandalous and headstrong halfsister, Eleanor Corbin, from the consequences of her last escapade. Reissue.","","345437861","9780345437860","The Case of the Glamorous Ghost (Perry Mason Mystery)","48","4","31","212","281","210"
"13363475","Bound in Sin","87","Human Paige Sloan once loved werewolf Drake Wyler more than life, but then that life was taken away from her. Attacked by vampires, Paige was bitten, and, on a cold, dark night, the life she'd known ended. She was reborn as a vampire--a werewolf's deadliest enemy.  Paige ran from the vampires who attacked h Human Paige Sloan once loved werewolf Drake Wyler more than life, but then that life was taken away from her. Attacked by vampires, Paige was bitten, and, on a cold, dark night, the life she'd known ended. She was reborn as a vampire--a werewolf's deadliest enemy.  Paige ran from the vampires who attacked her, and she ran away from her lover. She didn't want Drake to know what she'd become, and she didn't want to face the fury of his pack. But a girl can only run for so long until the past catches up with her. When Paige learns that Drake is being targeted for death, she knows that she can't hide in the shadows any longer. She has to return to him, and she will do anything--anything--in order to make sure that he keeps living. The vampires might have destroyed her chance to live and love Drake, but they won't take him. Not over her undead body. She'll slay them all...and maybe, just maybe...she'll even have the chance to sin--one more time--with the werewolf who'd marked her as his mate.","","","","Bound In Sin (Bound, #3)","184","32","166","855","1372","1164"
"103251","Longshot","","Hot on the heels of his runaway bestseller Straight, Dick Francis once again breaks away from the pack with his dazzling new mystery, Longshot. A starving writer turns to work that will at least pay the bills, but he soon discovers the perils of rural England. His agent had warned that his impulses would kill him, but he didn't listen--not by a longshot.","","330319582","9780330319584","Longshot","191","15","102","1180","2222","1628"
"16126845","দারুচিনি দ্বীপ","92","Cinnamon Island is one of the novels written by popular novelist Humayun Ahmed about Shuvro. It is a widely read novel. In the novel, Shuvro, known as Kanababa, and his friends organize a trip to the coral island of Saint Martin. The entire novel describes their trip to the sea. In 2007, actor and producer Taukir Ahmed Impress made a film based on the novel Cinnamon Island. It is one of the novels written by popular novelist Humayun Ahmed about Shuvro. It is a widely read novel. In the novel, Shuvro, known as Kanababa, and his friends organize a trip to the coral island of Saint Martin. The entire novel describes their trip to the sea. In 2007, actor and producer Taukir Ahmed Impress made a film based on the novel Cinnamon Island with the same title Cinnamon Island.","","9844040027","","দারুচিনি দ্বীপ","27","26","96","412","618","367"
"10726753","Dampfnudelblues","256",""Die, you pig!" is written in red on Höpfl's house. The head of the Landshut police station calls: High school principal Höpfl hasn't shown up for class. I'm supposed to drive over there and check. "Die, you pig!" flashes through my mind. And I have a bad feeling."","Niederkaltenkirchen(Germany)","3423248505","9783423248501","Dampfnudelblues (Franz Eberhofer, #2)","86","19","49","290","610","432"
"1116393","The Awakened Mage","678","Asher has come a long way for a fisherman's son. Together with his friend Prince Gar, he has defended their kingdom against its bitterest enemy, but at great cost. Now the evil mage Morg is preparing for his most deadly assault. Desperate, trapped in a broken body, Morg has little time and fewer scruples.","","1841496057","9781841496054","Innocence Lost (Kingmaker, Kingbreaker, #2)","517","393","1254","4323","5333","3881"
"8112340","Primal Bonds","298","When half-Fae, half-Shifter Andrea Gray flees an abusive would-be mate, the only way she is allowed to relocate to the Austin Shiftertown is if a Shifter there claims her as mate.  Sean Morrissey, the Guardian of his clan and all of Shiftertown, is mateless, lonely, and has a tough job--to send the souls of deceased Shifters into the afterworld. He volunteers to claim her,  When half-Fae, half-Shifter Andrea Gray flees an abusive would-be mate, the only way she is allowed to relocate to the Austin Shiftertown is if a Shifter there claims her as mate.  Sean Morrissey, the Guardian of his clan and all of Shiftertown, is mateless, lonely, and has a tough job--to send the souls of deceased Shifters into the afterworld. He volunteers to claim her, sight unseen, but doesn't realize that one look at the gray-eyed, dark-haired Andrea will stir the mating frenzy in him. Even though the mate-claim isn't finalized, official, or yet blessed, Sean will do anything to get Andrea into his life and keep her there, forever. Book 2 in the Shifters Unbound series. Full-length novel, Austin Shiftertown.","Austin, Texas(United States)","425240789","9780425240786","Primal Bonds (Shifters Unbound, #2)","516","104","377","2078","3933","3753"
"2435804","Jessica's Snobby Club","71","Jessica Wakefield and her friends Lila and Ellen have formed a club called the Orchids. Jessica wants her twin sister, Elizabeth, to join, but Elizabeth thinks the Orchids are too snobby. She starts her own club called the Sunflowers. Soon Jessica and Elizabeth can't stop arguing about which club is better. Will the twins ever be best friends again?","","553159224","9780553159226","Jessica's Snobby Club (Sweet Valley Kids, #26)","7","1","13","30","22","27"
"11886868","Oathbreakers-Storm Rising-Winds of Fate-The Oathbound-The Black Gryphon-The Silver Gryphon-The Oathblood-Winds of Change-By The Sword-The White Gryphon","","NaN","","","","","0","1","0","8","36","111"
"11890","The Wapshot Chronicle","352","Meet the Wapshots of St Botolphs. There is Captain Leander Wapshot, venerable sea-dog and would-be suicide; his licentious older son, Moses; and Moses's adoring and errant younger brother, Coverly. Tragic and funny, ribald and splendidly picaresque, and partly based on Cheever's adolescence in New England,   is a stirring family narrative in the finest  Meet the Wapshots of St Botolphs. There is Captain Leander Wapshot, venerable sea-dog and would-be suicide; his licentious older son, Moses; and Moses's adoring and errant younger brother, Coverly. Tragic and funny, ribald and splendidly picaresque, and partly based on Cheever's adolescence in New England,   is a stirring family narrative in the finest traditions of Trollope, Dickens, and Henry James","Massachusetts(United States) St. Botolphs, Massachusetts(United States)","60528877","9780060528874","The Wapshot Chronicle","353","189","488","1802","2484","1753"
"17281230","أرزاق - الجزء الثالث","",".. And the events continue for the (Al-Banhawi) family, through that critical stage of history (Egypt), and with the violent social, political and economic developments, the conflicts that take place inside and outside the family.. Despite all this, the family's star rises higher and higher, overcoming all obstacles and challenges, and love stories are born and die, with the sunrise and the rain.. And society develops and takes shape quickly, without stopping for a moment to ask itself: .. And the events continue for the (Al-Banhawi) family, through that critical stage of history (Egypt), and with the violent social, political and economic developments, the conflicts that take place inside and outside the family.. Despite all this, the family's star rises higher and higher, overcoming all obstacles and challenges, and love stories are born and die, with the sunrise and the rain.. And society develops and takes shape quickly, without stopping for a moment to ask itself: Where is this leading it? And how will future generations hold it accountable for all the victories and defeats it achieved for the revolution and... and for Egypt...","","","","أرزاق","21","10","17","62","124","115"
"6425120","Leprechaun in Late Winter","128","Jack and Annie are on their third mission to find (and inspire!) creative people to bring happiness to others through the arts (Mozart and Louis Armstrong so far). Set in Ireland, Jack and Annie meet an Irish girl and go on a magical adventure that changes the girl's life—she grows up to be Lady Gregory, who helped bring back the Irish legends, started a theater, and helpe Jack and Annie are on their third mission to find (and inspire!) creative people to bring happiness to others through the arts (Mozart and Louis Armstrong so far). Set in Ireland, Jack and Annie meet an Irish girl and go on a magical adventure that changes the girl's life—she grows up to be Lady Gregory, who helped bring back the Irish legends, started a theater, and helped the Irish people regain both their heritage and their pride.","Frog Creek, Pennsylvania(United States)","375856501","9780375856501","Leprechaun in Late Winter (Magic Tree House, #43)","153","46","141","601","823","1264"
"182662","Catherine the Great","400","Born a little German princess without a drop of Russian blood in her veins she came to embody Russia and as the country moved from war to war and conquest to conquest it was Catherine who became great. Those who served her throne, or her bed, were well rewarded while the serfs were condemned to ever-worsening conditions. Men were instruments of pleasure. The weak had to pe Born a little German princess without a drop of Russian blood in her veins she came to embody Russia and as the country moved from war to war and conquest to conquest it was Catherine who became great. Those who served her throne, or her bed, were well rewarded while the serfs were condemned to ever-worsening conditions. Men were instruments of pleasure. The weak had to perish. The future belonged to men - and sometimes a man could have the outward appearance of a woman. She was proof of that. This literary tour de force paints an enthralling picture of Catherine, her seductions, her coaxings and her phenomenal devotion to politics and work, but it also brings the Russian court - with all its intrigues - brilliantly to life.","","1842120298","9781842120293","Catherine la grande","104","30","99","499","952","876"
