"publisher_id","book_id","published_date","published_title","name_publisher","origin_publisher"
"19650","630104","","","Simon  Schuster Books for Young Readers",""
"19651","9487","","","Thomas Nelson",""
"19652","6050894","","","Zondervan",""
"19653","39030","","","Tor Books",""
"19654","998","","","Gallery Books",""
"19655","311164","","","Arrow",""
"19656","32105","","","Harlequin",""
"19657","377993","","","Algonquin Books",""
"19658","71292","","","Orion Books Ltd., London",""
"19659","821003","","","E.P. Dutton",""
"19660","24876258","","","Roc",""
"19661","80631","","","Pocket Star",""
"19662","81048","","","Villard Books",""
"19663","7640261","","","HarperCollins",""
"19664","22028","","","Ballantine Books",""
"19653","176892","","","Tor Books",""
"19665","138811","","","Harper Perennial",""
"19666","15990489","","","Orion",""
"19667","15743075","","","Kensington Trade",""
"19668","16116760","","","CreateSpace Independent Publishing Platform",""
"19669","13549445","","","self",""
"19670","550844","","","Signet Books",""
"19671","18523711","","","Ellora's Cave Publishing Inc.",""
"19672","17234659","","","Harper Teen",""
"19673","25906415","","","Blvnp Publishing Incorporated",""
"19674","165782","","","Berkley",""
"19675","23346719","","","Doubleday",""
"19663","274400","","","HarperCollins",""
"19676","1977834","","","Gallimard",""
"19664","228345","","","Ballantine Books",""
"19677","7831145","","","Berkley Books",""
"19678","58893","","","Scholastic Paperbacks",""
"19679","153783","","","Scholastic Inc",""
"19680","870461","","","Center Street",""
"19681","286136","","","Shadow Mountain",""
"19682","6419887","","","William Morrow",""
"19683","228244","","","Penguin Classics",""
"19684","3004139","","","Dutton Adult",""
"19685","93729","","","HarperTrophy",""
"19678","71869","","","Scholastic Paperbacks",""
"19686","900682","","","Reclam",""
"19687","7519640","","","Twelve",""
"19674","124923","","","Berkley",""
"19688","2214574","","","Harcourt, Inc.",""
"19689","4842437","","","Droemer/Knaur",""
"19690","7163862","","","Angry Robot",""
"19691","8662135","","","Feiwel & Friends",""
"19692","97860","","","Clarion Books",""
"19693","10587120","","","Henry Holt & Company",""
"19694","79484","","","Sourcebooks Landmark",""
"19695","26936","","","Vintage",""
"19696","91760","","","Harry N. Abrams",""
"19697","621687","","","Simon & Schuster Children's Publishing",""
"19664","199635","","","Ballantine Books",""
"19698","39097","","","Ivy Books",""
"19673","25975141","","","Blvnp Publishing Incorporated",""
"19650","1783289","","","Simon  Schuster Books for Young Readers",""
"19663","5498077","","","HarperCollins",""
"19699","7704979","","","Macmillan Children's Books",""
"19700","24764","","","Razorbill",""
"19701","239065","","","Jove",""
"19702","475965","","","Marion Boyars Publishers Ltd",""
"19703","7129468","","","Poppy",""
"19704","1891296","","","Orchard Books",""
"19666","294042","","","Orion",""
"19705","6556261","","","Harpercollins",""
"19706","8685644","","","Walker Childrens",""
"19664","15549","","","Ballantine Books",""
"19707","10414941","","","Random House, Inc. (NY)",""
"19708","10065348","","","Aladdin",""
"19708","11242368","","","Aladdin",""
"19709","19286623","","","St. Martin's Griffin",""
"19710","100629","","","Harmony",""
"19711","28978","","","Atlantic Monthly Press",""
"19699","7943678","","","Macmillan Children's Books",""
"19712","167302","","","Penguin Books",""
"19655","311308","","","Arrow",""
"19713","16356","","","Harper Collins",""
"19678","82553","","","Scholastic Paperbacks",""
"19714","16130758","","","Mira",""
"19663","13425352","","","HarperCollins",""
"19715","922119","","","Ellora's Cave",""
"19716","5350","","","Delta",""
"19717","294285","","","Avon",""
"19718","22852698","","","Ace",""
"19697","457762","","","Simon & Schuster Children's Publishing",""
"19719","618924","","","Grand Central Publishing",""
"19720","13151","","","Vision",""
"19712","402","","","Penguin Books",""
"19721","104216","","","HarperTorch",""
"19722","244475","","","Bantam",""
"19663","7893","","","HarperCollins",""
"19655","878307","","","Arrow",""
"19665","12447","","","Harper Perennial",""
"19685","85993","","","HarperTrophy",""
"19723","226425","","","Albert Whitman & Company",""
"19717","3942622","","","Avon",""
"19724","47241","","","Baen",""
"19678","339026","","","Scholastic Paperbacks",""
"19703","37451","","","Poppy",""
